name,element,length_unit,z_matrix_real,z_matrix_imag,length,from_bus,to_bus,num_phases,is_switch,is_open
l19,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.3,18,21,3,False,False
l20,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.325,19,20,1,False,False
l21,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.525,21,22,1,False,False
l22,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.25,21,23,3,False,False
l23,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.55,23,24,1,False,False
l24,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.275,23,25,3,False,False
l25,line,0,"[[0.086666667, 0.0, 0.02907197], [0.0, 0.0, 0.0], [0.02907197, 0.0, 0.087405303]]","[[0.204166667, 0.0, 0.072897727], [0.0, 0.0, 0.0], [0.072897727, 0.0, 0.201723485]]",0.35,25r,26,2,False,False
l26,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.2,25,28,3,False,False
l27,line,0,"[[0.086666667, 0.0, 0.02907197], [0.0, 0.0, 0.0], [0.02907197, 0.0, 0.087405303]]","[[0.204166667, 0.0, 0.072897727], [0.0, 0.0, 0.0], [0.072897727, 0.0, 0.201723485]]",0.275,26,27,2,False,False
l28,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.225,26,31,1,False,False
l29,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.5,27,33,1,False,False
l30,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.3,28,29,3,False,False
l31,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.35,29,30,3,False,False
l32,line,0,"[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]",0.2,30,250,3,False,False
l33,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.3,31,32,1,False,False
l34,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.1,34,15,1,False,False
l35,line,0,"[[0.086666667, 0.02907197, 0.0], [0.02907197, 0.087405303, 0.0], [0.0, 0.0, 0.0]]","[[0.204166667, 0.072897727, 0.0], [0.072897727, 0.201723485, 0.0], [0.0, 0.0, 0.0]]",0.65,35,36,2,False,False
l36,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,35,40,3,False,False
l37,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.3,36,37,1,False,False
l38,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.25,36,38,1,False,False
l39,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.325,38,39,1,False,False
l40,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.325,40,41,1,False,False
l41,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,40,42,3,False,False
l42,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.5,42,43,1,False,False
l43,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.2,42,44,3,False,False
l44,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.2,44,45,1,False,False
l45,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,44,47,3,False,False
l46,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.3,45,46,1,False,False
l47,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.15,47,48,3,False,False
l48,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,47,49,3,False,False
l49,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,49,50,3,False,False
l50,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,50,51,3,False,False
l51,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.5,51,151,3,False,False
l52,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.2,52,53,3,False,False
l53,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.125,53,54,3,False,False
l54,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.275,54,55,3,False,False
l55,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.35,54,57,3,False,False
l56,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.275,55,56,3,False,False
l57,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.25,57,58,1,False,False
l58,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.75,57,60,3,False,False
l59,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.25,58,59,1,False,False
l60,line,0,"[[0.088371212, 0.029545455, 0.029924242], [0.029545455, 0.086666667, 0.02907197], [0.029924242, 0.02907197, 0.087405303]]","[[0.198522727, 0.095018939, 0.080227273], [0.095018939, 0.204166667, 0.072897727], [0.080227273, 0.072897727, 0.201723485]]",0.55,60,61,3,False,False
l61,line,0,"[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]","[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]",0.25,60,62,3,False,False
l62,line,0,"[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]","[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]",0.175,62,63,3,False,False
l63,line,0,"[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]","[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]",0.35,63,64,3,False,False
l64,line,0,"[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]","[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]",0.425,64,65,3,False,False
l65,line,0,"[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]","[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]",0.325,65,66,3,False,False
l66,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.2,67,68,1,False,False
l67,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.275,67,72,3,False,False
l68,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.25,67,97,3,False,False
l69,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.275,68,69,1,False,False
l70,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.325,69,70,1,False,False
l71,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.275,70,71,1,False,False
l72,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.275,72,73,1,False,False
l73,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.2,72,76,3,False,False
l74,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.35,73,74,1,False,False
l75,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.4,74,75,1,False,False
l76,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.4,76,77,3,False,False
l77,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.7,76,86,3,False,False
l78,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.1,77,78,3,False,False
l79,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.225,78,79,3,False,False
l80,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.475,78,80,3,False,False
l81,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.175,80,81,3,False,False
l82,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.25,81,82,3,False,False
l83,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.675,81,84,1,False,False
l84,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.25,82,83,3,False,False
l85,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.475,84,85,1,False,False
l86,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.45,86,87,3,False,False
l87,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.175,87,88,1,False,False
l88,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.275,87,89,3,False,False
l89,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.25,89,90,1,False,False
l90,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.225,89,91,3,False,False
l91,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.3,91,92,1,False,False
l92,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.225,91,93,3,False,False
l93,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.275,93,94,1,False,False
l94,line,0,"[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]","[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]",0.3,93,95,3,False,False
l95,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.2,95,96,1,False,False
l96,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.275,97,98,3,False,False
l97,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.55,98,99,3,False,False
l98,line,0,"[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]","[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]",0.3,99,100,3,False,False
