,name,basekV,latitude,longitude
65,l2842384,7.2,46.68233284,-119.1097759
66,m1149236,7.2,46.68226664,-119.1109343
67,m1149235,7.2,46.68224172,-119.1116456
68,d5563942-4_int,7.2,46.6822215,-119.1119625
69,q16483,7.2,46.6822,-119.1121
70,q16483_cap,7.2,46.6822,-119.1122
71,r42247,7.2,46.6822144,-119.1122683
72,m1149233,7.2,46.68218458,-119.1129483
73,l3048965,7.2,46.6820779,-119.114612
74,m1142843,7.2,46.6819893,-119.1154851
75,m1026329,7.2,46.6153648,-119.2182153
76,m1026328,7.2,46.61502638,-119.2186373
77,m1026330,7.2,46.6157226,-119.2177707
78,m1026331,7.2,46.6162805,-119.2170647
79,m1026333,7.2,46.61673378,-119.2164911
80,l2973162,7.2,46.61725362,-119.2158272
81,m1026341,7.2,46.6179223,-119.2149685
82,m1026347,7.2,46.61845116,-119.2143685
83,l3235275,7.2,46.61919974,-119.2132006
84,m1026354,7.2,46.61984188,-119.2122403
85,m1026356,7.2,46.6201627,-119.2116994
86,m1026357,7.2,46.62041678,-119.211294
87,l3122849,7.2,46.62116826,-119.2101758
88,l2691954,7.2,46.62170188,-119.209281
89,m1047292,7.2,46.62245572,-119.2080613
90,m1047293,7.2,46.62264224,-119.2077995
91,l2763153,7.2,46.623081,-119.2071597
92,l3139121,7.2,46.6236783,-119.2060926
93,m1047299,7.2,46.62408654,-119.2054971
94,l3027116,7.2,46.6254012,-119.203882
95,m1047303,7.2,46.62612896,-119.203005
96,l3254238,7.2,46.62712412,-119.2017922
97,l2673346,7.2,46.628414,-119.2002089
98,e182748,7.2,46.62905798,-119.1994313
99,d6049825-1_int,7.2,46.62907898,-119.1994019
100,m1047309,7.2,46.62910402,-119.1993757
101,n1137960,7.2,46.62934464,-119.1990556
102,m1047312,7.2,46.62948978,-119.1988625
103,l3216370,7.2,46.63046434,-119.1975889
104,m1047316,7.2,46.63061544,-119.1974141
105,l3235255,7.2,46.63112954,-119.1967897
106,l2897780,7.2,46.6315772,-119.1962708
107,m1047324,7.2,46.63249838,-119.1951319
108,m1047325,7.2,46.63259122,-119.1950207
109,q14412,7.2,46.63267262,-119.1948851
110,d5926308-3_int,7.2,46.63315178,-119.1944673
111,l2860491,7.2,46.63330654,-119.1942248
112,m1047339,7.2,46.6341519,-119.1932303
113,l2991922,7.2,46.63481618,-119.1922837
114,m1047345,7.2,46.63531398,-119.1915627
115,m1047346,7.2,46.63570258,-119.1909888
116,l3104134,7.2,46.63614532,-119.1903949
117,l2860490,7.2,46.63682132,-119.1896728
118,l3254218,7.2,46.6375779,-119.1888555
119,r18242,7.2,46.63797664,-119.18841689999999
120,m1069135,7.2,46.63872438,-119.1875949
121,m1069136,7.2,46.6395403,-119.186757
122,l3235256,7.2,46.63993208,-119.1863872
123,l3197630,7.2,46.6412267,-119.1850467
124,m1069154,7.2,46.64313652,-119.18304
125,m1069155,7.2,46.64421632,-119.1819034
126,m1069156,7.2,46.64552402,-119.1804516
127,l3048206,7.2,46.6461295,-119.1797264
128,l2766718,7.2,46.64703696,-119.1785906
129,l3010556,7.2,46.6480445,-119.1772301
130,m1069169,7.2,46.64871544,-119.1762644
131,e182724,7.2,46.64948422,-119.1749648
132,d6413567-3_int,7.2,46.64953014,-119.1748333
133,n1139541,7.2,46.649595,-119.1747455
134,m1069175,7.2,46.6499176,-119.1741067
135,m1069184,7.2,46.65041418,-119.1731885
136,m1069189,7.2,46.65061498,-119.1728172
137,l3195356,7.2,46.65115006,-119.1717579
138,m1089112,7.2,46.65149384,-119.1712257
139,m1089115,7.2,46.6521457,-119.1698667
140,m1089118,7.2,46.65308232,-119.1673346
141,m1089119,7.2,46.65352986,-119.1660942
142,m1089120,7.2,46.65367038,-119.165705
143,d5472350-1_int,7.2,46.65379896,-119.1653295
144,190-7361,7.2,46.65388888,-119.1650904
145,q14404,7.2,46.65410388,-119.1644418
146,regxfmr_190-7361,7.2,46.65406032,-119.1645463
147,d6138608-3_int,7.2,46.65427812,-119.1639196
148,l3029502,7.2,46.6543722,-119.1636594
149,m1089131,7.2,46.65492302,-119.1621574
150,l3104125,7.2,46.6551328,-119.1615523
151,l3160107,7.2,46.65601166,-119.1600349
152,m1089141,7.2,46.65692318,-119.1584879
153,m1089143,7.2,46.65808024,-119.156587
154,l3029498,7.2,46.65854132,-119.1551896
155,l2933164,7.2,46.65891824,-119.1541253
156,m1108286,7.2,46.65906104,-119.1527777
157,l2688692,7.2,46.65906792,-119.1526908
158,l2688693,7.2,46.6591211,-119.1520226
159,n1139547,7.2,46.65923644,-119.1505725
160,l2804249,7.2,46.65949472,-119.1494016
161,l3179678,7.2,46.66033894,-119.1476571
162,l2936279,7.2,46.66099242,-119.1461007
163,m1108295,7.2,46.66107304,-119.1446693
164,l3011298,7.2,46.66150698,-119.1433984
165,196-36167,7.2,46.66248036,-119.14263
166,m1108298,7.2,46.66294902,-119.14226
167,l2879773,7.2,46.66417718,-119.1416659
168,d6170302-1_int,7.2,46.66495018,-119.1414136
169,m1108311,7.2,46.66541248,-119.1413154
170,m1108315,7.2,46.66642506,-119.1410774
171,l2955081,7.2,46.66769888,-119.1405301
172,226-23751,7.2,46.66802514,-119.1399273
173,m1125902,7.2,46.66861532,-119.138837
174,e183493,7.2,46.66927454,-119.1375278
175,d5958866-1_int,7.2,46.66995952,-119.136505
176,l2861218,7.2,46.67041432,-119.1351648
177,l2917328,7.2,46.6708684,-119.1342011
178,m1125914,7.2,46.6711636,-119.1335746
179,m1125917,7.2,46.67181416,-119.1322256
180,m1125919,7.2,46.67209128,-119.1316263
181,l2992624,7.2,46.67247992,-119.1308861
182,l2730163,7.2,46.67312682,-119.129663
183,m1125934,7.2,46.67378164,-119.1289129
184,l3030199,7.2,46.67408098,-119.1285621
185,l2955074,7.2,46.67500784,-119.1275139
186,m1142818,7.2,46.67599334,-119.1264409
187,m1142819,7.2,46.67678852,-119.1255798
188,l2711226,7.2,46.67763042,-119.1246996
189,m1142821,7.2,46.67764802,-119.1246812
190,l2692655,7.2,46.67824474,-119.1241075
191,l2674047,7.2,46.67892828,-119.1234634
192,m1142828,7.2,46.67892854,-119.1234631
193,l3160865,7.2,46.68044628,-119.1221701
194,m1142832,7.2,46.6807069,-119.1210642
195,m1142839,7.2,46.68096224,-119.1198517
196,e193509,7.2,46.68118946,-119.1188178
197,d5799561-2_int,7.2,46.68128498,-119.1182286
198,l3081380,7.2,46.68147938,-119.1172784
199,d6138609-1_int,7.2,46.65231794,-119.1712302
200,l2691951,7.2,46.65242332,-119.1712348
201,n1139542,7.2,46.65275372,-119.1712343
202,p827523,7.2,46.65306158,-119.1712488
203,l2879076,7.2,46.653563,-119.1713209
204,m1089122,7.2,46.65390948,-119.1713227
205,m1089132,7.2,46.65499672,-119.1713283
206,l3029503,7.2,46.65559274,-119.1716997
207,m1069202,7.2,46.65641884,-119.1721301
208,l2879073,7.2,46.6579974,-119.1729997
209,m1069205,7.2,46.65881262,-119.1734384
210,m1069208,7.2,46.65928588,-119.1736931
211,m1069213,7.2,46.66055168,-119.1755755
212,m1069215,7.2,46.66124764,-119.1751466
213,m1069der480-1,0.28,46.66124764,-119.1741022
214,m1069-mt1,0.28,46.66124764,-119.1730578
215,m1069217,7.2,46.66139892,-119.1768812
216,l2841626,7.2,46.66143454,-119.1769363
217,l3235266,7.2,46.66217876,-119.1782677
218,l2801950,7.2,46.66298592,-119.179224
219,m1069224,7.2,46.66327218,-119.1796711
220,m1069230,7.2,46.66603918,-119.1803684
221,m1069300,7.2,46.66691036,-119.1803684
222,m1069310,7.2,46.66952392,-119.179324
223,m1069311,7.2,46.6713398,-119.1782192
224,l3159448,7.2,46.67137516,-119.1782233
225,n1138607,7.2,46.67229,-119.1783296
226,m4113347,7.2,46.6726203,-119.1783679
227,n1144668,7.2,46.67304148,-119.1784169
228,m1069350,7.2,46.67342198,-119.1784611
229,l3143999,7.2,46.673462,-119.1784769
230,n1138604,7.2,46.67449602,-119.1789819
231,l3125349,7.2,46.67529412,-119.1793716
232,n1138603,7.2,46.67553444,-119.1796167
233,l3181545,7.2,46.6763893,-119.1804888
234,n1138599,7.2,46.67682932,-119.1814342
235,m1069376,7.2,46.67698248,-119.1817633
236,n1138598,7.2,46.6771822,-119.1816787
237,l2822877,7.2,46.67749578,-119.1815458
238,m1069382,7.2,46.67803888,-119.1814177
239,l2766741,7.2,46.67890224,-119.1812568
240,m1069411,7.2,46.6801419,-119.1811115
241,n1138597,7.2,46.68082616,-119.1811156
242,m1069417,7.2,46.68128024,-119.1811183
243,m1069418,7.2,46.68251502,-119.1813828
244,m1069419,7.2,46.68317468,-119.1816374
245,m4277837,7.2,46.68414362,-119.1818539
246,m1069420,7.2,46.68653682,-119.1814515
247,l2935549,7.2,46.68785836,-119.1810084
248,m1069424,7.2,46.68908778,-119.1806455
249,m1069428,7.2,46.69014942,-119.1803212
250,q14411,7.2,46.69043246,-119.180264
251,d5956499-2_int,7.2,46.69108586,-119.1800551
252,l2766749,7.2,46.69133694,-119.179935
253,m1069438,7.2,46.6922789,-119.1796474
254,l2925506,7.2,46.69271228,-119.179518
255,n1139260,7.2,46.6941115,-119.1790156
256,m1069457,7.2,46.6942051,-119.178982
257,d5803273-1_int,7.2,46.69478842,-119.1798462
258,l2876798,7.2,46.69503186,-119.1802448
259,m1069461,7.2,46.69513942,-119.1810746
260,m1069464,7.2,46.69613728,-119.1817553
261,m1069468,7.2,46.69692892,-119.1825731
262,l3216367,7.2,46.69744388,-119.1829204
263,l2991939,7.2,46.69861002,-119.1837115
264,l2673308,7.2,46.69991406,-119.184842
265,l2745848,7.2,46.7004879,-119.1855484
266,m1069481,7.2,46.70075092,-119.1858838
267,m1069483,7.2,46.70125468,-119.1865142
268,m1047480,7.2,46.70222126,-119.1880859
269,m1047483,7.2,46.70287326,-119.1892032
270,l3010560,7.2,46.70310826,-119.1896857
271,m1047484,7.2,46.70350048,-119.1905822
272,m1047486,7.2,46.70397606,-119.1921928
273,l3122821,7.2,46.7031868,-119.1943578
274,m1047485,7.2,46.70397248,-119.1975952
275,l2726973,7.2,46.70463306,-119.1988099
276,m1047490,7.2,46.70537938,-119.1996703
277,l2822872,7.2,46.70667714,-119.1999999
278,l3104136,7.2,46.7081809,-119.2016468
279,m1047497,7.2,46.70843968,-119.2018934
280,l3160109,7.2,46.70924798,-119.202655
281,196-29520,7.2,46.7099447,-119.2033824
282,n1137992,7.2,46.70999362,-119.2034335
283,d5742811-3_int,7.2,46.71029558,-119.2037622
284,l2820531,7.2,46.7103969,-119.2038545
285,m1047507,7.2,46.71053194,-119.2045181
286,m1026905,7.2,46.72649696,-119.2333835
287,m1026907,7.2,46.7268277,-119.2355085
288,m1026902,7.2,46.72595682,-119.2318085
289,p827525,7.2,46.72528888,-119.2303115
290,m1026chp-1,7.2,46.72702242,-119.2289314
291,m1026chp-2,7.2,46.72702242,-119.227887
292,m1026chp-3,7.2,46.72702242,-119.2273648
293,m1026896,7.2,46.7251903,-119.2300945
294,l3120484,7.2,46.72455128,-119.2284955
295,m1026886,7.2,46.72454004,-119.2284674
296,q14413,7.2,46.72397324,-119.2281481
297,d5502543-2_int,7.2,46.72310206,-119.2265816
298,m1026872,7.2,46.72242406,-119.2262821
299,l2822871,7.2,46.72176192,-119.2256251
300,l3235257,7.2,46.7205256,-119.2244479
301,m1026851,7.2,46.72053228,-119.2239333
302,l3197646,7.2,46.72051712,-119.2222424
303,m1026852,7.2,46.72053832,-119.220474
304,m1026854,7.2,46.72066644,-119.2182311
305,m1026858,7.2,46.72084534,-119.2174231
306,m1026861,7.2,46.72108696,-119.2148737
307,m1026855,7.2,46.72069658,-119.2144455
308,l3235254,7.2,46.7195574,-119.2133765
309,m3768670,7.2,46.7190803,-119.2122389
310,l3216345,7.2,46.7187972,-119.2109853
311,l2879070,7.2,46.71829828,-119.2095772
312,m1026830,7.2,46.71798322,-119.2087613
313,m3763619,7.2,46.71776808,-119.2080881
314,m1047592,7.2,46.717545,-119.2074555
315,m1047577,7.2,46.71662198,-119.2060808
316,l3103822,7.2,46.71542296,-119.2046833
317,n1136669,7.2,46.7149438,-119.2038191
318,m1047552,7.2,46.71471708,-119.2034102
319,m1047548,7.2,46.71464682,-119.2030894
320,l3066815,7.2,46.71439892,-119.2023893
321,196-29519,7.2,46.71425884,-119.2018277
322,n1136667,7.2,46.71404078,-119.2012862
323,l2858166,7.2,46.71346174,-119.1999313
324,d5863704-2_int,7.2,46.71373678,-119.2007335
325,m1047528,7.2,46.71342746,-119.1998595
326,n1136666,7.2,46.71321612,-119.1994168
327,m1047526,7.2,46.71313678,-119.1992506
328,m1047521,7.2,46.7128388,-119.1986262
329,m1047pv-3,7.2,46.71025202,-119.1944673
330,m1047pv-2,7.2,46.71090542,-119.1960339
331,m1047pv-1,7.2,46.7115588,-119.1968171
332,m1047520,7.2,46.71286558,-119.1973393
333,m1047522,7.2,46.7128621,-119.1968605
334,d6077791-3_int,7.2,46.71308338,-119.196295
335,n1136663,7.2,46.71318156,-119.1961462
336,m1047534,7.2,46.71395636,-119.1944139
337,m1047550,7.2,46.71468446,-119.1929448
338,m1047558,7.2,46.71505906,-119.1921198
339,m1047568,7.2,46.71587864,-119.190919
340,q14733,7.2,46.7159583,-119.1908382
341,d5860423-3_int,7.2,46.71621966,-119.1903943
342,190-8593,7.2,46.71630678,-119.1902789
343,m1047575,7.2,46.71678594,-119.1896632
344,regxfmr_190-8593,7.2,46.71669882,-119.1897677
345,d5860450-1_int,7.2,46.71722154,-119.1892455
346,l2841632,7.2,46.7176347,-119.1887776
347,m1047574,7.2,46.71780014,-119.1886324
348,m1069500,7.2,46.71861344,-119.1876533
349,m1069504,7.2,46.71966492,-119.1863303
350,l2691967,7.2,46.72010556,-119.1857518
351,r42246,7.2,46.72052652,-119.1852282
352,q16642_cap,7.2,46.7206,-119.18515
353,q16642,7.2,46.72066274,-119.1851203
354,d6290228-6_int,7.2,46.7210112,-119.1846503
355,n1136657,7.2,46.72109942,-119.1845154
356,m1069514,7.2,46.72122086,-119.1843644
357,m1069515,7.2,46.72148718,-119.183648
358,n1136367,7.2,46.72185592,-119.1831585
359,m1069517,7.2,46.72213072,-119.1827936
360,n1136365,7.2,46.72192582,-119.1823456
361,m1069516,7.2,46.72157256,-119.1815733
362,m1069513,7.2,46.72096106,-119.1802548
363,l2766738,7.2,46.72058436,-119.1794188
364,m1069509,7.2,46.7202013,-119.1783532
365,m1069505,7.2,46.7198764,-119.1779839
366,n1134478,7.2,46.71976022,-119.1778509
367,m1069503,7.2,46.71951076,-119.1775653
368,e182729,7.2,46.71943204,-119.177475
369,d5534969-2_int,7.2,46.7192906,-119.1772875
370,n1134477,7.2,46.71920558,-119.1771987
371,l3066814,7.2,46.7190627,-119.1770243
372,n1134476,7.2,46.71867106,-119.1765274
373,m1069499,7.2,46.71833932,-119.1761065
374,m1069498,7.2,46.71742112,-119.1748332
375,m1069495,7.2,46.71729196,-119.1747193
376,m1069497,7.2,46.71734668,-119.1744659
377,n1134475,7.2,46.71734242,-119.173895
378,m1069496,7.2,46.71733474,-119.1728749
379,n1134474,7.2,46.7172482,-119.1719072
380,m1089215,7.2,46.71717862,-119.1711294
381,m1089220,7.2,46.71874612,-119.1709691
382,m1089der480-2,0.28,46.71874612,-119.1704469
383,m1089-dies1,0.28,46.71874612,-119.1699247
384,n1144663,7.2,46.71713376,-119.1706964
385,l3231255,7.2,46.7170885,-119.1702591
386,l3118855,7.2,46.717071,-119.1693944
387,m1089213,7.2,46.7170922,-119.1680149
388,l3160098,7.2,46.71692316,-119.1662037
389,m1089207,7.2,46.71680306,-119.165824
390,m1089203,7.2,46.71652184,-119.1649298
391,m1089202,7.2,46.71611664,-119.1639657
392,m1089201,7.2,46.71609086,-119.1639043
393,m1089198,7.2,46.7149737,-119.1611829
394,m1089196,7.2,46.71438908,-119.1594916
395,m1089197,7.2,46.71479544,-119.1579491
396,m1089199,7.2,46.71529394,-119.1566918
397,m1108526,7.2,46.71588234,-119.1551244
398,m1108534,7.2,46.71660926,-119.153102
399,m1108535,7.2,46.71708594,-119.1480757
400,m1108532,7.2,46.71640836,-119.1467053
401,m1108529,7.2,46.7161684,-119.1463925
402,q14734,7.2,46.71591474,-119.1463221
403,d5587291-3_int,7.2,46.71534848,-119.1461132
404,190-8581,7.2,46.71529276,-119.1460857
405,l2692635,7.2,46.71460796,-119.1459565
406,regxfmr_190-8581,7.2,46.71482576,-119.1460088
407,d5578300-1_int,7.2,46.71395458,-119.1458521
408,l2692633,7.2,46.71374022,-119.1457813
409,l2674027,7.2,46.71336678,-119.1456181
410,l3179646,7.2,46.71272228,-119.1453349
411,l2955047,7.2,46.71205574,-119.1451675
412,m1108505,7.2,46.71129776,-119.1449483
413,m1108500,7.2,46.7109387,-119.1448811
414,n1142104,7.2,46.71029646,-119.1447609
415,l3104830,7.2,46.70924862,-119.1445376
416,n1142103,7.2,46.70910746,-119.1444476
417,m1108493,7.2,46.70863792,-119.1441484
418,l3142049,7.2,46.7075695,-119.1434675
419,m1108490,7.2,46.70701538,-119.1431071
420,n1142100,7.2,46.70685156,-119.1429918
421,n1142099,7.2,46.7064217,-119.1426894
422,l2730106,7.2,46.70614602,-119.1424954
423,m1108484,7.2,46.70472436,-119.1419833
424,l2933135,7.2,46.70371776,-119.1415366
425,m4122658,7.2,46.70369536,-119.1415268
426,l3232902,7.2,46.7031547,-119.1413718
427,l3179650,7.2,46.70256256,-119.1412026
428,l2973791,7.2,46.70166684,-119.1409339
429,l2859403,7.2,46.70113856,-119.1407863
430,r20703,7.2,46.70054336,-119.14062
431,e183473,7.2,46.70045366,-119.1405949
432,d5535139-1_int,7.2,46.70036402,-119.1405885
433,m1125997,7.2,46.70032046,-119.1405816
434,m1125994,7.2,46.69892008,-119.1401959
435,l3067478,7.2,46.69745486,-119.1398349
436,m1125990,7.2,46.69656402,-119.1396124
437,m1125989,7.2,46.69649546,-119.1395952
438,m1125987,7.2,46.69555144,-119.1393623
439,m1125976,7.2,46.6932045,-119.1384345
440,m1125968,7.2,46.69310232,-119.1377606
441,l2767341,7.2,46.69316116,-119.1372632
442,m1125969,7.2,46.69310484,-119.1368212
443,e206217,7.2,46.69295618,-119.1358793
444,d6198039-1_int,7.2,46.6928718,-119.1351996
445,l3123452,7.2,46.6927794,-119.1347592
446,m1125962,7.2,46.69253564,-119.1326675
447,m1125960,7.2,46.69236024,-119.1326203
448,l3214069,7.2,46.69165466,-119.1324306
449,m1125952,7.2,46.69147658,-119.1323827
450,l3214071,7.2,46.69085696,-119.1318334
451,m1125947,7.2,46.69018234,-119.1312353
452,m1125944,7.2,46.68923576,-119.1285163
453,m1142875,7.2,46.6871611,-119.1247966
454,m1142874,7.2,46.68670774,-119.1240278
455,m1142871,7.2,46.6865031,-119.1234219
456,m1142869,7.2,46.68625698,-119.1230042
457,m1142868,7.2,46.68582632,-119.1222374
458,l3030197,7.2,46.68527276,-119.1212274
459,m1142865,7.2,46.68477644,-119.1203569
460,m1142863,7.2,46.68425042,-119.1193946
461,m1142860,7.2,46.68383374,-119.1186866
462,l3160872,7.2,46.68336398,-119.1178673
463,q1301,7.2,46.6833105,-119.1177848
464,d5861005-2_int,7.2,46.68324516,-119.1176542
465,196-31070,7.2,46.68319532,-119.117585
466,m1142851,7.2,46.68308242,-119.11739
467,l2955077,7.2,46.68259678,-119.1165373
468,d6108141-1_int,7.2,46.71277846,-119.198697
469,e206209,7.2,46.7126478,-119.199167
470,l2897777,7.2,46.7121662,-119.2009723
471,n1144665,7.2,46.71200746,-119.2013961
472,m1047515,7.2,46.71184712,-119.2018241
473,m1047513,7.2,46.71104494,-119.2034981
474,196-35813,7.2,46.71015314,-119.2052652
475,n1140519,7.2,46.71009774,-119.2053745
476,d5895780-3_int,7.2,46.70985998,-119.2059553
477,l2991914,7.2,46.7096814,-119.2061957
478,m1047503,7.2,46.70940536,-119.206709
479,l2841635,7.2,46.70922136,-119.2070512
480,l2822869,7.2,46.70876094,-119.2079076
481,m1026808,7.2,46.7079097,-119.2091707
482,m1026807,7.2,46.70787564,-119.2092465
483,n1140521,7.2,46.70775128,-119.2095233
484,l3254217,7.2,46.7075079,-119.2100651
485,m1026800,7.2,46.70667526,-119.2104214
486,m1026797,7.2,46.70587926,-119.210721
487,m1026796,7.2,46.70584402,-119.2107322
488,m1026795,7.2,46.70540942,-119.2107414
489,m1026786,7.2,46.7044864,-119.2113519
490,m1026785,7.2,46.70443518,-119.2113768
491,m1026783,7.2,46.70404132,-119.2115684
492,m1026780,7.2,46.70380992,-119.2116998
493,m1026774,7.2,46.70241036,-119.2124414
494,m1026769,7.2,46.70083834,-119.2132318
495,l2841633,7.2,46.70073276,-119.2133055
496,d5534970-1_int,7.2,46.70001554,-119.213527
497,e182732,7.2,46.69937644,-119.2141358
498,m1026760,7.2,46.69925962,-119.2142073
499,m1026744,7.2,46.6977597,-119.2150182
500,m1026724,7.2,46.69559526,-119.2162794
501,r18243,7.2,46.69552578,-119.2163555
502,n1139552,7.2,46.69519212,-119.2167039
503,m1026702,7.2,46.69424732,-119.2176905
504,n1139551,7.2,46.69352872,-119.2197208
505,m1026695,7.2,46.693402,-119.2200767
506,n1140818,7.2,46.69360124,-119.221133
507,l2973167,7.2,46.69363492,-119.2213116
508,n1140819,7.2,46.69393264,-119.2224384
509,m1026700,7.2,46.6940489,-119.2228782
510,m1026706,7.2,46.69456226,-119.2242075
511,n1140828,7.2,46.69461008,-119.2262503
512,m1026708,7.2,46.69461496,-119.2264588
513,m1026709,7.2,46.69461526,-119.2264713
514,m1026701,7.2,46.69419792,-119.2273419
515,m1026697,7.2,46.69363848,-119.2281469
516,m1026690,7.2,46.69305636,-119.2289441
517,l2879078,7.2,46.69213664,-119.2301729
518,d6108145-1_int,7.2,46.69182638,-119.2304979
519,m1026681,7.2,46.6915688,-119.2309338
520,l3048221,7.2,46.69095422,-119.2317572
521,d5835167-6_int,7.2,46.69043246,-119.2323256
522,l3085398,7.2,46.72610558,-119.2359255
523,d5653457-1_int,7.2,46.72528004,-119.2362419
524,m1026891,7.2,46.72496366,-119.2364566
525,l3160102,7.2,46.72385102,-119.2371322
526,p827514,7.2,46.72300352,-119.2373964
527,m1026876,7.2,46.7229192,-119.2374225
528,m1026866,7.2,46.7214197,-119.2373122
529,m1026844,7.2,46.71950814,-119.2370691
530,l2876814,7.2,46.71946568,-119.2370686
531,m1026834,7.2,46.71832454,-119.237049
532,m1026829,7.2,46.7175529,-119.2370358
533,m1026824,7.2,46.71560456,-119.2372769
534,m1009807,7.2,46.71292178,-119.237673
535,m1009805,7.2,46.71204998,-119.2378258
536,d5621886-1_int,7.2,46.71003422,-119.2378242
537,m1009784,7.2,46.70851692,-119.2383392
538,m1009770,7.2,46.70764996,-119.2384108
539,n1147857,7.2,46.70754484,-119.2384666
540,m1009742,7.2,46.70682942,-119.2388465
541,p901972,7.2,46.7066612,-119.2388831
542,m1009726,7.2,46.70543194,-119.2384245
543,m1009724,7.2,46.70439314,-119.2384707
544,m1009720,7.2,46.70374816,-119.2383667
545,m1009715,7.2,46.70334188,-119.2383946
546,m1009705,7.2,46.70219352,-119.2383701
547,m1009698,7.2,46.7015245,-119.2384826
548,m1026767,7.2,46.700769,-119.237437
549,l3216346,7.2,46.70016138,-119.2372363
550,l2858163,7.2,46.69869482,-119.2358314
551,l2766747,7.2,46.69650362,-119.2349709
552,m1026732,7.2,46.6960205,-119.2347855
553,l3047058,7.2,46.69491544,-119.2343615
554,l3047059,7.2,46.69348162,-119.233631
555,l3047060,7.2,46.69217484,-119.2325867
556,m1009650,7.2,46.68575126,-119.238392
557,m1009651,7.2,46.68584736,-119.2382887
558,m1026655,7.2,46.68646472,-119.237501
559,m1026658,7.2,46.68716346,-119.2366095
560,l2673319,7.2,46.6874892,-119.2361939
561,m1026662,7.2,46.688787,-119.2343047
562,m1026670,7.2,46.68936396,-119.2338653
563,m3036170,7.2,46.68952622,-119.2336658
564,l2691952,7.2,46.68954794,-119.2336391
565,q14414,7.2,46.68977908,-119.2331088
566,d5867591-1_int,7.2,46.69892656,-119.1412047
567,e183472,7.2,46.69892656,-119.1417269
568,l2989566,7.2,46.69911832,-119.1429037
569,m1108378,7.2,46.6990649,-119.1443824
