,name,element,length_unit,z_matrix,length,from_bus,to_bus,num_phases,is_switch,is_open
10,hvmv69s1s2-4,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",2.0,hvmv69s1s2_4,hvmv69s1s2_5,3,False,False
11,hvmv69s1s2-5,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",2.0,hvmv69s1s2_5,hvmv69s1s2_6,3,False,False
12,hvmv69s1s2-6,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",2.0,hvmv69s1s2_6,hvmv69s1s2_7,3,False,False
13,hvmv69s1s2-7,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",1.0,hvmv69s1s2_7,hvmv69s1s2_8,3,False,False
14,hvmv69s1s2-8,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",1.0,hvmv69s1s2_8,hvmv69s1s2_9,3,False,False
15,hvmv69s1s2-9,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",1.0,hvmv69s1s2_9,hvmv69s1s2_10,3,False,False
16,hvmv69s1s2-10,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69s1s2_10,hvmv69sub2_lnb,3,True,False
17,hvmv69s2b1_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69sub2_lnb,hvmv69sub2_hsb,3,True,False
18,hvmv69s2b2_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv11sub2_lsb,m1047300,3,True,False
19,hvmv69s2b3_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69sub2_lnb,hvmv69s2s3_1,3,True,False
20,hvmv69s2s3-1,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",4.5,hvmv69s2s3_1,hvmv69s2s3_2,3,False,False
21,hvmv69s3b1_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69s2s3_2,hvmv69sub3_hsb,3,True,False
22,hvmv69s3b2_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv11sub3_lsb,e203026,3,True,False
23,ln5815900-1,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.019593344,e192860,m1209817,3,False,False
24,ln5742828-1,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.025252282,m1209817,l2801909,3,False,False
25,ln5742828-2,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.069272706,l2801909,m1209814,3,False,False
26,ln5473414-1,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.10694866,m1209814,m1209811,3,False,False
27,ln5714974-1,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.12260449,m1209811,m1209807,3,False,False
28,ln5896798-1,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.044159942,m1209807,m1209805,3,False,False
29,ln5775442-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.10556016,m1209805,l2823592,3,False,False
30,cap_1a,line,0,"[[1.+1.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]]",0.001,l2823592,l2823592_cap,1,False,False
31,cap_1b,line,0,"[[0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 1.+1.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]]",0.001,l2823592,l2823592_cap,1,False,False
32,cap_1c,line,0,"[[0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 1.+1.j]]",0.001,l2823592,l2823592_cap,1,False,False
33,ln5513564-2,line,0,"[[1.+1.j 0.+0.j 0.+0.j]
 [0.+0.j 1.+1.j 0.+0.j]
 [0.+0.j 0.+0.j 1.+1.j]]",0.001,l2823592_cap,r20185,3,False,False
34,ln5513564-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.021280456,r20185,d5513564-1_int,3,False,False
35,xj171_48332_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,d5513564-1_int,e192201,3,True,False
36,ln6321409-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.055682141,e192201,m1209800,3,False,False
37,ln5654466-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.075404767,m1209800,m1209797,3,False,False
38,ln6291242-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.066599759,m1209797,m1209791,3,False,False
39,ln5654472-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.055242928,m1209791,m1209790,3,False,False
40,ln5594242-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.059115704,m1209790,m1209788,3,False,False
41,ln6351519-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.10721017,m1209788,m1209787,3,False,False
42,ln6261021-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.12435365,m1209787,l2823611,3,False,False
43,ln5473440-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.083489919,l2823611,l3030204,3,False,False
44,ln5866268-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.067199597,l3030204,m1186072,3,False,False
45,ln0048634_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,m1186072,d6048634-1_int,3,True,False
46,ln6048634-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.042173829,d6048634-1_int,m1186067,3,False,False
47,ln6504019-5,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.05014083,m1186067,m3032980,3,False,False
48,ln6504020-2,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.25744439,m3032980,m3032977,3,False,False
49,ln6504018-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.3076146,m3032977,m1166366,3,False,False
50,ln5957526-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.041168179,m1166366,m1166368,3,False,False
51,ln5715052-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.10508824,m1166368,l2973833,3,False,False
52,ln5866308-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.041401205,l2973833,m1166373,3,False,False
53,ln6412354-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.009347399,m1166373,m1166374,3,False,False
54,ln6412355-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.06764679,m1166374,l2786266,3,False,False
55,ln5745355-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.034564588,l2786266,m1166375,3,False,False
56,ln5896834-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.09683365,m1166375,l2842383,3,False,False
57,ln6023352-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.052958573,l2842383,d6023352-1_int,3,False,False
58,l9407_48332_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,d6023352-1_int,e184626,3,True,False
59,ln6326450-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.010317742,e184626,m1166377,3,False,False
60,ln5992960-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.033759753,m1166377,m1166376,3,False,False
61,ln5508630-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.005246984,m1166376,l2842384,3,False,False
62,ln5805762-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.067772686,l2842384,m1149236,3,False,False
63,ln6018336-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.041559119,m1149236,m1149235,3,False,False
64,ln5563942-4,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.031133341,m1149235,d5563942-4_int,3,False,False
65,2002200004868472_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,d5563942-4_int,q16483,3,True,False
66,cap_2a,line,0,"[[1.+1.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]]",0.001,q16483,q16483_cap,1,False,False
67,cap_2b,line,0,"[[0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 1.+1.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]]",0.001,q16483,q16483_cap,1,False,False
68,cap_2c,line,0,"[[0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 1.+1.j]]",0.001,q16483,q16483_cap,1,False,False
69,ln5563942-5,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.005259517,q16483_cap,r42247,3,False,False
70,ln5563942-3,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.039748412,r42247,m1149233,3,False,False
71,ln5896833-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.097395629,m1149233,l3048965,3,False,False
72,ln5805761-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.051340388,l3048965,m1142843,3,False,False
73,ln5895787-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.034167636,m1026329,m1026328,3,False,False
74,ln5835149-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.036059111,m1026330,m1026329,3,False,False
75,ln6198013-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.056764184,m1026331,m1026330,3,False,False
76,ln6198013-2,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.046120846,m1026333,m1026331,3,False,False
77,ln6017302-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.053150629,l2973162,m1026333,3,False,False
78,ln5683830-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.068567464,m1026341,l2973162,3,False,False
79,ln5623408-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.050947837,m1026347,m1026341,3,False,False
80,ln5774496-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.085972603,l3235275,m1026347,3,False,False
81,ln5865271-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.071838269,m1026354,l3235275,3,False,False
82,ln5895818-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.038743587,m1026356,m1026354,3,False,False
83,ln5532791-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.029594278,m1026357,m1026356,3,False,False
84,ln5956503-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.083981418,l3122849,m1026357,3,False,False
85,ln6320368-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.064206951,l2691954,l3122849,3,False,False
86,ln6229835-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.088604518,m1047292,l2691954,3,False,False
87,ln6047605-1,line,3,"[[0.27001904+0.69597397j 0.10995067+0.33350979j 0.11353849+0.30827066j]
 [0.10995067+0.33350979j 0.26463374+0.7087291j  0.11074699+0.35025852j]
 [0.11353849+0.30827066j 0.11074699+0.35025852j 0.27169828+0.69202134j]]",0.020094199,m1047293,m1047292,3,False,False
