,name,bus,P1,Q1,P2,Q2,P3,Q3
81,,m1026341,0.0,0.0,0.0,0.0,0.0,0.0
82,,m1026347,0.0,0.0,0.0,0.0,0.0,0.0
83,302507b0b,l3235275,0.0,0.0,9.73,2.44,0.0,0.0
84,,m1026354,0.0,0.0,0.0,0.0,0.0,0.0
85,,m1026356,0.0,0.0,0.0,0.0,0.0,0.0
86,,m1026357,0.0,0.0,0.0,0.0,0.0,0.0
87,293423b0b,l3122849,0.0,0.0,5.84,1.47,0.0,0.0
88,21399361b0b,l2691954,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
89,,m1047292,0.0,0.0,0.0,0.0,0.0,0.0
90,,m1047293,0.0,0.0,0.0,0.0,0.0,0.0
91,293425a0b,l2763153,8.87,2.23,0.0,0.0,0.0,0.0
92,,l3139121,0.0,0.0,0.0,0.0,0.0,0.0
93,,m1047299,0.0,0.0,0.0,0.0,0.0,0.0
94,226192684a0b,l3027116,5.32,1.3399999999999999,0.0,0.0,0.0,0.0
95,,m1047303,0.0,0.0,0.0,0.0,0.0,0.0
96,293487b0b,l3254238,0.0,0.0,9.729999999999999,2.4299999999999997,0.0,0.0
97,293486c0b,l2673346,0.0,0.0,0.0,0.0,10.170000000000002,2.55
98,,e182748,0.0,0.0,0.0,0.0,0.0,0.0
99,,d6049825-1_int,0.0,0.0,0.0,0.0,0.0,0.0
100,,m1047309,0.0,0.0,0.0,0.0,0.0,0.0
101,,n1137960,0.0,0.0,0.0,0.0,0.0,0.0
102,,m1047312,0.0,0.0,0.0,0.0,0.0,0.0
103,293521c0b,l3216370,3.55,0.89,3.89,0.97,4.07,1.02
104,,m1047316,0.0,0.0,0.0,0.0,0.0,0.0
105,293519b0b,l3235255,0.0,0.0,1.95,0.49,0.0,0.0
106,293518b0b,l2897780,0.0,0.0,9.73,2.43,0.0,0.0
107,,m1047324,0.0,0.0,0.0,0.0,0.0,0.0
108,,m1047325,0.0,0.0,0.0,0.0,0.0,0.0
109,,q14412,0.0,0.0,0.0,0.0,0.0,0.0
110,,d5926308-3_int,0.0,0.0,0.0,0.0,0.0,0.0
111,302733b0b,l2860491,3.55,0.89,14.59,3.66,0.0,0.0
112,,m1047339,0.0,0.0,0.0,0.0,0.0,0.0
113,302734a0b,l2991922,5.32,1.33,0.0,0.0,0.0,0.0
114,,m1047345,0.0,0.0,0.0,0.0,0.0,0.0
115,,m1047346,0.0,0.0,0.0,0.0,0.0,0.0
116,138718c0b,l3104134,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
117,138719a0b,l2860490,8.87,2.23,0.0,0.0,0.0,0.0
118,138720a0b,l3254218,8.870000000000001,2.23,0.0,0.0,0.0,0.0
119,,r18242,0.0,0.0,0.0,0.0,0.0,0.0
120,,m1069135,0.0,0.0,0.0,0.0,0.0,0.0
121,,m1069136,0.0,0.0,0.0,0.0,0.0,0.0
122,138642a0b,l3235256,5.32,1.34,0.0,0.0,0.0,0.0
123,138644a0b,l3197630,8.870000000000001,2.22,0.0,0.0,0.0,0.0
124,,m1069154,0.0,0.0,0.0,0.0,0.0,0.0
125,,m1069155,0.0,0.0,0.0,0.0,0.0,0.0
126,,m1069156,0.0,0.0,0.0,0.0,0.0,0.0
127,138649a0b,l3048206,8.87,2.2199999999999998,0.0,0.0,0.0,0.0
128,138652c0b,l2766718,0.0,0.0,0.0,0.0,15.26,3.83
129,138655a0b,l3010556,5.32,1.3399999999999999,0.0,0.0,0.0,0.0
130,,m1069169,0.0,0.0,0.0,0.0,0.0,0.0
131,,e182724,0.0,0.0,0.0,0.0,0.0,0.0
132,,d6413567-3_int,0.0,0.0,0.0,0.0,0.0,0.0
133,,n1139541,0.0,0.0,0.0,0.0,0.0,0.0
134,,m1069175,0.0,0.0,0.0,0.0,0.0,0.0
135,,m1069184,0.0,0.0,0.0,0.0,0.0,0.0
136,,m1069189,0.0,0.0,0.0,0.0,0.0,0.0
137,,l3195356,0.0,0.0,0.0,0.0,0.0,0.0
138,,m1089112,0.0,0.0,0.0,0.0,0.0,0.0
139,,m1089115,0.0,0.0,0.0,0.0,0.0,0.0
140,,m1089118,0.0,0.0,0.0,0.0,0.0,0.0
141,,m1089119,0.0,0.0,0.0,0.0,0.0,0.0
142,,m1089120,0.0,0.0,0.0,0.0,0.0,0.0
143,,d5472350-1_int,0.0,0.0,0.0,0.0,0.0,0.0
144,,190-7361,0.0,0.0,0.0,0.0,0.0,0.0
145,,q14404,0.0,0.0,0.0,0.0,0.0,0.0
146,,regxfmr_190-7361,0.0,0.0,0.0,0.0,0.0,0.0
147,,d6138608-3_int,0.0,0.0,0.0,0.0,0.0,0.0
148,138262a0b,l3029502,17.74,4.45,0.0,0.0,0.0,0.0
149,,m1089131,0.0,0.0,0.0,0.0,0.0,0.0
150,138264b0b,l3104125,0.0,0.0,9.73,2.44,0.0,0.0
151,138265a0b,l3160107,8.87,2.22,0.0,0.0,0.0,0.0
152,,m1089141,0.0,0.0,0.0,0.0,0.0,0.0
153,,m1089143,0.0,0.0,0.0,0.0,0.0,0.0
154,247036c0b,l3029498,0.0,0.0,0.0,0.0,4.07,1.02
155,,l2933164,0.0,0.0,0.0,0.0,0.0,0.0
156,,m1108286,0.0,0.0,0.0,0.0,0.0,0.0
157,225918926b0b,l2688692,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
158,225918936c0b,l2688693,0.0,0.0,0.0,0.0,6.1,1.53
159,,n1139547,0.0,0.0,0.0,0.0,0.0,0.0
160,21389962c0b,l2804249,0.0,0.0,0.0,0.0,6.1,1.53
161,247185b0b,l3179678,0.0,0.0,5.84,1.46,0.0,0.0
162,247184c0b,l2936279,0.0,0.0,0.0,0.0,10.17,2.55
163,,m1108295,0.0,0.0,0.0,0.0,0.0,0.0
164,207286c0b,l3011298,0.0,0.0,0.0,0.0,4.07,1.02
165,,196-36167,0.0,0.0,0.0,0.0,0.0,0.0
166,,m1108298,0.0,0.0,0.0,0.0,0.0,0.0
167,207290a0b,l2879773,8.87,2.23,0.0,0.0,0.0,0.0
168,,d6170302-1_int,0.0,0.0,0.0,0.0,0.0,0.0
169,,m1108311,0.0,0.0,0.0,0.0,0.0,0.0
170,,m1108315,0.0,0.0,0.0,0.0,0.0,0.0
171,260508a0b,l2955081,5.32,1.33,0.0,0.0,0.0,0.0
172,,226-23751,0.0,0.0,0.0,0.0,0.0,0.0
173,,m1125902,0.0,0.0,0.0,0.0,0.0,0.0
174,,e183493,0.0,0.0,0.0,0.0,0.0,0.0
175,,d5958866-1_int,0.0,0.0,0.0,0.0,0.0,0.0
176,260505c0b,l2861218,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
177,21389092b0b,l2917328,0.0,0.0,9.73,2.44,0.0,0.0
178,,m1125914,0.0,0.0,0.0,0.0,0.0,0.0
179,,m1125917,0.0,0.0,0.0,0.0,0.0,0.0
180,,m1125919,0.0,0.0,0.0,0.0,0.0,0.0
181,260484a0b,l2992624,5.319999999999999,1.34,0.0,0.0,0.0,0.0
182,260481c0b,l2730163,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
183,,m1125934,0.0,0.0,0.0,0.0,0.0,0.0
184,260480c0b,l3030199,0.0,0.0,0.0,0.0,10.170000000000002,2.55
185,260479a0b,l2955074,13.299999999999999,3.34,0.0,0.0,0.0,0.0
186,,m1142818,0.0,0.0,0.0,0.0,0.0,0.0
187,,m1142819,0.0,0.0,0.0,0.0,0.0,0.0
188,260527b0b,l2711226,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
189,,m1142821,0.0,0.0,0.0,0.0,0.0,0.0
190,21389307c0b,l2692655,0.0,0.0,0.0,0.0,10.17,2.55
191,260514c0b,l2674047,0.0,0.0,0.0,0.0,6.1000000000000005,1.53
192,,m1142828,0.0,0.0,0.0,0.0,0.0,0.0
193,260515a0b,l3160865,8.870000000000001,2.2199999999999998,0.0,0.0,0.0,0.0
194,,m1142832,0.0,0.0,0.0,0.0,0.0,0.0
195,,m1142839,0.0,0.0,0.0,0.0,0.0,0.0
196,,e193509,0.0,0.0,0.0,0.0,0.0,0.0
197,,d5799561-2_int,0.0,0.0,0.0,0.0,0.0,0.0
198,225700953a0b,l3081380,5.32,1.34,0.0,0.0,0.0,0.0
199,,d6138609-1_int,0.0,0.0,0.0,0.0,0.0,0.0
200,138379c0b,l2691951,0.0,0.0,0.0,0.0,10.17,2.55
201,,n1139542,0.0,0.0,0.0,0.0,0.0,0.0
202,,p827523,0.0,0.0,0.0,0.0,0.0,0.0
203,138380c0b,l2879076,0.0,0.0,0.0,0.0,4.07,1.02
204,,m1089122,0.0,0.0,0.0,0.0,0.0,0.0
205,,m1089132,0.0,0.0,0.0,0.0,0.0,0.0
206,138373c0b,l3029503,0.0,0.0,0.0,0.0,6.1,1.53
207,,m1069202,0.0,0.0,0.0,0.0,0.0,0.0
208,138371c0b,l2879073,0.0,0.0,0.0,0.0,6.1000000000000005,1.53
209,,m1069205,0.0,0.0,0.0,0.0,0.0,0.0
210,,m1069208,0.0,0.0,0.0,0.0,0.0,0.0
211,,m1069213,0.0,0.0,0.0,0.0,0.0,0.0
212,,m1069215,0.0,0.0,0.0,0.0,0.0,0.0
213,,m1069der480-1,0.0,0.0,0.0,0.0,0.0,0.0
214,,m1069-mt1,0.0,0.0,0.0,0.0,0.0,0.0
215,,m1069217,0.0,0.0,0.0,0.0,0.0,0.0
216,302808c0b,l2841626,0.0,0.0,0.0,0.0,4.07,1.02
217,302807c0b,l3235266,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
218,,l2801950,0.0,0.0,0.0,0.0,0.0,0.0
219,,m1069224,0.0,0.0,0.0,0.0,0.0,0.0
220,,m1069230,0.0,0.0,0.0,0.0,0.0,0.0
221,,m1069300,0.0,0.0,0.0,0.0,0.0,0.0
222,,m1069310,0.0,0.0,0.0,0.0,0.0,0.0
223,,m1069311,0.0,0.0,0.0,0.0,0.0,0.0
224,337684a0b,l3159448,8.87,2.23,0.0,0.0,0.0,0.0
225,,n1138607,0.0,0.0,0.0,0.0,0.0,0.0
226,,m4113347,0.0,0.0,0.0,0.0,0.0,0.0
227,,n1144668,0.0,0.0,0.0,0.0,0.0,0.0
228,,m1069350,0.0,0.0,0.0,0.0,0.0,0.0
229,226193696a0b,l3143999,8.870000000000001,2.23,0.0,0.0,0.0,0.0
230,,n1138604,0.0,0.0,0.0,0.0,0.0,0.0
231,226193698c0b,l3125349,0.0,0.0,0.0,0.0,10.17,2.55
232,,n1138603,0.0,0.0,0.0,0.0,0.0,0.0
233,226193702c0b,l3181545,0.0,0.0,0.0,0.0,6.1,1.53
234,,n1138599,0.0,0.0,0.0,0.0,0.0,0.0
235,,m1069376,0.0,0.0,0.0,0.0,0.0,0.0
236,,n1138598,0.0,0.0,0.0,0.0,0.0,0.0
237,337672b0b,l2822877,0.0,0.0,5.84,1.46,0.0,0.0
238,,m1069382,0.0,0.0,0.0,0.0,0.0,0.0
239,21386754a0b,l2766741,8.87,2.22,0.0,0.0,0.0,0.0
240,,m1069411,0.0,0.0,0.0,0.0,0.0,0.0
241,,n1138597,0.0,0.0,0.0,0.0,0.0,0.0
242,,m1069417,0.0,0.0,0.0,0.0,0.0,0.0
243,,m1069418,0.0,0.0,0.0,0.0,0.0,0.0
244,,m1069419,0.0,0.0,0.0,0.0,0.0,0.0
245,,m4277837,0.0,0.0,0.0,0.0,0.0,0.0
246,,m1069420,0.0,0.0,0.0,0.0,0.0,0.0
247,337668b0b,l2935549,0.0,0.0,14.59,3.65,0.0,0.0
248,,m1069424,0.0,0.0,0.0,0.0,0.0,0.0
249,,m1069428,0.0,0.0,0.0,0.0,0.0,0.0
250,,q14411,0.0,0.0,0.0,0.0,0.0,0.0
251,,d5956499-2_int,0.0,0.0,0.0,0.0,0.0,0.0
252,337661b0b,l2766749,0.0,0.0,9.73,2.44,0.0,0.0
253,,m1069438,0.0,0.0,0.0,0.0,0.0,0.0
254,225533703c0b,l2925506,0.0,0.0,0.0,0.0,10.17,2.55
255,,n1139260,0.0,0.0,0.0,0.0,0.0,0.0
256,,m1069457,0.0,0.0,0.0,0.0,0.0,0.0
257,,d5803273-1_int,0.0,0.0,0.0,0.0,0.0,0.0
258,226193745b0b,l2876798,0.0,0.0,9.73,2.44,0.0,0.0
259,,m1069461,0.0,0.0,0.0,0.0,0.0,0.0
260,,m1069464,0.0,0.0,0.0,0.0,0.0,0.0
261,,m1069468,0.0,0.0,0.0,0.0,0.0,0.0
262,337648b0b,l3216367,0.0,0.0,9.729999999999999,2.44,0.0,0.0
263,337652b0b,l2991939,0.0,0.0,9.73,2.43,0.0,0.0
264,337653b0b,l2673308,0.0,0.0,14.59,3.66,0.0,0.0
265,,l2745848,0.0,0.0,0.0,0.0,0.0,0.0
266,,m1069481,0.0,0.0,0.0,0.0,0.0,0.0
267,,m1069483,0.0,0.0,0.0,0.0,0.0,0.0
268,,m1047480,0.0,0.0,0.0,0.0,0.0,0.0
269,,m1047483,0.0,0.0,0.0,0.0,0.0,0.0
270,338955b0b,l3010560,0.0,0.0,9.73,2.44,0.0,0.0
271,,m1047484,0.0,0.0,0.0,0.0,0.0,0.0
272,,m1047486,0.0,0.0,0.0,0.0,0.0,0.0
273,338953b0b,l3122821,0.0,0.0,9.73,2.44,0.0,0.0
274,,m1047485,0.0,0.0,0.0,0.0,0.0,0.0
275,226192926a0b,l2726973,8.87,2.22,0.0,0.0,0.0,0.0
276,,m1047490,0.0,0.0,0.0,0.0,0.0,0.0
277,338950b0b,l2822872,0.0,0.0,9.73,2.44,0.0,0.0
278,338949b0b,l3104136,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
279,,m1047497,0.0,0.0,0.0,0.0,0.0,0.0
280,338947b0b,l3160109,0.0,0.0,9.73,2.44,0.0,0.0
281,,196-29520,0.0,0.0,0.0,0.0,0.0,0.0
282,,n1137992,0.0,0.0,0.0,0.0,0.0,0.0
283,,d5742811-3_int,0.0,0.0,0.0,0.0,0.0,0.0
284,226192936b0b,l2820531,0.0,0.0,9.73,2.44,0.0,0.0
285,,m1047507,0.0,0.0,0.0,0.0,0.0,0.0
286,,m1026905,0.0,0.0,0.0,0.0,0.0,0.0
287,,m1026907,0.0,0.0,0.0,0.0,0.0,0.0
288,,m1026902,0.0,0.0,0.0,0.0,0.0,0.0
289,,p827525,0.0,0.0,0.0,0.0,0.0,0.0
290,,m1026chp-1,0.0,0.0,0.0,0.0,0.0,0.0
291,,m1026chp-2,0.0,0.0,0.0,0.0,0.0,0.0
292,,m1026chp-3,0.0,0.0,0.0,0.0,0.0,0.0
293,,m1026896,0.0,0.0,0.0,0.0,0.0,0.0
294,226191772c0b,l3120484,0.0,0.0,0.0,0.0,6.1,1.53
295,,m1026886,0.0,0.0,0.0,0.0,0.0,0.0
296,,q14413,0.0,0.0,0.0,0.0,0.0,0.0
297,,d5502543-2_int,0.0,0.0,0.0,0.0,0.0,0.0
298,,m1026872,0.0,0.0,0.0,0.0,0.0,0.0
299,355840b0b,l2822871,0.0,0.0,9.73,2.44,0.0,0.0
300,,l3235257,0.0,0.0,0.0,0.0,0.0,0.0
301,,m1026851,0.0,0.0,0.0,0.0,0.0,0.0
302,355944b0b,l3197646,0.0,0.0,9.73,2.44,0.0,0.0
303,,m1026852,0.0,0.0,0.0,0.0,0.0,0.0
304,,m1026854,0.0,0.0,0.0,0.0,0.0,0.0
305,,m1026858,0.0,0.0,0.0,0.0,0.0,0.0
306,,m1026861,0.0,0.0,0.0,0.0,0.0,0.0
307,,m1026855,0.0,0.0,0.0,0.0,0.0,0.0
308,441331c0b,l3235254,0.0,0.0,0.0,0.0,10.17,2.55
309,,m3768670,0.0,0.0,0.0,0.0,0.0,0.0
310,338933b0b,l3216345,0.0,0.0,14.59,3.6500000000000004,0.0,0.0
311,338934b0b,l2879070,0.0,0.0,5.84,1.46,0.0,0.0
312,,m1026830,0.0,0.0,0.0,0.0,0.0,0.0
313,,m3763619,0.0,0.0,0.0,0.0,0.0,0.0
314,,m1047592,0.0,0.0,0.0,0.0,0.0,0.0
315,,m1047577,0.0,0.0,0.0,0.0,0.0,0.0
316,228665517c0b,l3103822,0.0,0.0,0.0,0.0,15.26,3.83
317,,n1136669,0.0,0.0,0.0,0.0,0.0,0.0
318,,m1047552,0.0,0.0,0.0,0.0,0.0,0.0
319,,m1047548,0.0,0.0,0.0,0.0,0.0,0.0
320,338936c0b,l3066815,0.0,0.0,0.0,0.0,10.170000000000002,2.55
321,,196-29519,0.0,0.0,0.0,0.0,0.0,0.0
322,,n1136667,0.0,0.0,0.0,0.0,0.0,0.0
323,226192994a0b,l2858166,3.55,0.89,0.0,0.0,0.0,0.0
324,,d5863704-2_int,0.0,0.0,0.0,0.0,0.0,0.0
325,,m1047528,0.0,0.0,0.0,0.0,0.0,0.0
326,,n1136666,0.0,0.0,0.0,0.0,0.0,0.0
327,,m1047526,0.0,0.0,0.0,0.0,0.0,0.0
328,,m1047521,0.0,0.0,0.0,0.0,0.0,0.0
329,,m1047pv-3,0.0,0.0,0.0,0.0,0.0,0.0
330,,m1047pv-2,0.0,0.0,0.0,0.0,0.0,0.0
331,,m1047pv-1,0.0,0.0,0.0,0.0,0.0,0.0
332,,m1047520,0.0,0.0,0.0,0.0,0.0,0.0
333,,m1047522,0.0,0.0,0.0,0.0,0.0,0.0
334,,d6077791-3_int,0.0,0.0,0.0,0.0,0.0,0.0
335,,n1136663,0.0,0.0,0.0,0.0,0.0,0.0
336,,m1047534,0.0,0.0,0.0,0.0,0.0,0.0
337,,m1047550,0.0,0.0,0.0,0.0,0.0,0.0
338,,m1047558,0.0,0.0,0.0,0.0,0.0,0.0
339,,m1047568,0.0,0.0,0.0,0.0,0.0,0.0
340,,q14733,0.0,0.0,0.0,0.0,0.0,0.0
341,,d5860423-3_int,0.0,0.0,0.0,0.0,0.0,0.0
342,,190-8593,0.0,0.0,0.0,0.0,0.0,0.0
343,,m1047575,0.0,0.0,0.0,0.0,0.0,0.0
344,,regxfmr_190-8593,0.0,0.0,0.0,0.0,0.0,0.0
345,,d5860450-1_int,0.0,0.0,0.0,0.0,0.0,0.0
346,338972b0b,l2841632,0.0,0.0,9.73,2.43,0.0,0.0
347,,m1047574,0.0,0.0,0.0,0.0,0.0,0.0
348,,m1069500,0.0,0.0,0.0,0.0,0.0,0.0
349,,m1069504,0.0,0.0,0.0,0.0,0.0,0.0
350,338976b0b,l2691967,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
351,,r42246,0.0,0.0,0.0,0.0,0.0,0.0
352,,q16642_cap,0.0,0.0,0.0,0.0,0.0,0.0
353,,q16642,0.0,0.0,0.0,0.0,0.0,0.0
354,,d6290228-6_int,0.0,0.0,0.0,0.0,0.0,0.0
355,,n1136657,0.0,0.0,0.0,0.0,0.0,0.0
356,,m1069514,0.0,0.0,0.0,0.0,0.0,0.0
357,,m1069515,0.0,0.0,0.0,0.0,0.0,0.0
358,,n1136367,0.0,0.0,0.0,0.0,0.0,0.0
359,,m1069517,0.0,0.0,0.0,0.0,0.0,0.0
360,,n1136365,0.0,0.0,0.0,0.0,0.0,0.0
361,,m1069516,0.0,0.0,0.0,0.0,0.0,0.0
362,,m1069513,0.0,0.0,0.0,0.0,0.0,0.0
363,338978c0b,l2766738,0.0,0.0,0.0,0.0,10.17,2.55
364,,m1069509,0.0,0.0,0.0,0.0,0.0,0.0
365,,m1069505,0.0,0.0,0.0,0.0,0.0,0.0
366,,n1134478,0.0,0.0,0.0,0.0,0.0,0.0
367,,m1069503,0.0,0.0,0.0,0.0,0.0,0.0
368,,e182729,0.0,0.0,0.0,0.0,0.0,0.0
369,,d5534969-2_int,0.0,0.0,0.0,0.0,0.0,0.0
370,,n1134477,0.0,0.0,0.0,0.0,0.0,0.0
371,338979b0b,l3066814,0.0,0.0,3.8899999999999997,0.98,0.0,0.0
372,,n1134476,0.0,0.0,0.0,0.0,0.0,0.0
373,,m1069499,0.0,0.0,0.0,0.0,0.0,0.0
374,,m1069498,0.0,0.0,0.0,0.0,0.0,0.0
375,,m1069495,0.0,0.0,0.0,0.0,0.0,0.0
376,,m1069497,0.0,0.0,0.0,0.0,0.0,0.0
377,,n1134475,0.0,0.0,0.0,0.0,0.0,0.0
378,,m1069496,0.0,0.0,0.0,0.0,0.0,0.0
379,,n1134474,0.0,0.0,0.0,0.0,0.0,0.0
380,,m1089215,0.0,0.0,0.0,0.0,0.0,0.0
381,,m1089220,0.0,0.0,0.0,0.0,0.0,0.0
382,,m1089der480-2,0.0,0.0,0.0,0.0,0.0,0.0
383,,m1089-dies1,0.0,0.0,0.0,0.0,0.0,0.0
384,,n1144663,0.0,0.0,0.0,0.0,0.0,0.0
385,339051c0b,l3231255,0.0,0.0,0.0,0.0,10.17,2.55
386,339052c0b,l3118855,0.0,0.0,0.0,0.0,15.26,3.82
387,,m1089213,0.0,0.0,0.0,0.0,0.0,0.0
388,339048a0b,l3160098,5.32,1.33,0.0,0.0,0.0,0.0
389,,m1089207,0.0,0.0,0.0,0.0,0.0,0.0
390,,m1089203,0.0,0.0,0.0,0.0,0.0,0.0
391,,m1089202,0.0,0.0,0.0,0.0,0.0,0.0
392,,m1089201,0.0,0.0,0.0,0.0,0.0,0.0
393,,m1089198,0.0,0.0,0.0,0.0,0.0,0.0
394,,m1089196,0.0,0.0,0.0,0.0,0.0,0.0
395,,m1089197,0.0,0.0,0.0,0.0,0.0,0.0
396,,m1089199,0.0,0.0,0.0,0.0,0.0,0.0
397,,m1108526,0.0,0.0,0.0,0.0,0.0,0.0
398,,m1108534,0.0,0.0,0.0,0.0,0.0,0.0
399,,m1108535,0.0,0.0,0.0,0.0,0.0,0.0
400,,m1108532,0.0,0.0,0.0,0.0,0.0,0.0
401,,m1108529,0.0,0.0,0.0,0.0,0.0,0.0
402,,q14734,0.0,0.0,0.0,0.0,0.0,0.0
403,,d5587291-3_int,0.0,0.0,0.0,0.0,0.0,0.0
404,,190-8581,0.0,0.0,0.0,0.0,0.0,0.0
