name,element,length_unit,z_matrix_real,z_matrix_imag,length,from_bus,to_bus,num_phases,phases,is_switch,is_open,base_kv_LL
hvmv69s2b3_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69sub2_lnb,hvmv69s2s3_1,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s2s3-1,line,3,"[[0.2629297227684913, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.27405580104617555], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.27405580104617555, 0.2978494133227139, 0.702036475272149]]",4.5,hvmv69s2s3_1,hvmv69s2s3_2,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s3b1_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69s2s3_2,hvmv69sub3_hsb,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s3b2_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv11sub3_lsb,e203026,3,"{'b', 'c', 'a'}",True,False,12.47
ln5815900-1,line,3,"[[0.2141620120958426, 0.055795673327478965, 0.057163579603184064], [0.055795673327478965, 0.21213109768802993, 0.056089218740818465], [0.057163579603184064, 0.056089218740818465, 0.21480089260651247]]","[[0.6349571372299505, 0.2748695351570142, 0.24652758275387385], [0.2748695351570142, 0.652374866590401, 0.29091969611073953], [0.24652758275387385, 0.29091969611073953, 0.6295435753335943]]",0.019593344,e192860,m1209817,3,"{'b', 'c', 'a'}",False,False,12.47
ln5742828-1,line,3,"[[0.21416201209584257, 0.055795673327478965, 0.057163579603184064], [0.055795673327478965, 0.21213109768802993, 0.056089218740818465], [0.057163579603184064, 0.056089218740818465, 0.2148008926065125]]","[[0.6349571372299505, 0.2748695351570141, 0.24652758275387388], [0.2748695351570141, 0.652374866590401, 0.2909196961107396], [0.24652758275387388, 0.2909196961107396, 0.6295435753335943]]",0.025252282,m1209817,l2801909,3,"{'b', 'c', 'a'}",False,False,12.47
ln5742828-2,line,3,"[[0.21416201209584257, 0.05579567332747896, 0.05716357960318406], [0.05579567332747896, 0.2121310976880299, 0.056089218740818465], [0.05716357960318406, 0.056089218740818465, 0.21480089260651247]]","[[0.6349571372299505, 0.2748695351570141, 0.24652758275387388], [0.2748695351570141, 0.652374866590401, 0.2909196961107396], [0.24652758275387388, 0.2909196961107396, 0.6295435753335943]]",0.069272706,l2801909,m1209814,3,"{'b', 'c', 'a'}",False,False,12.47
ln5473414-1,line,3,"[[0.21416201209584257, 0.05579567332747896, 0.05716357960318407], [0.05579567332747896, 0.21213109768802993, 0.056089218740818465], [0.05716357960318407, 0.056089218740818465, 0.21480089260651247]]","[[0.6349571372299505, 0.2748695351570142, 0.2465275827538739], [0.2748695351570142, 0.6523748665904011, 0.2909196961107396], [0.2465275827538739, 0.2909196961107396, 0.6295435753335944]]",0.10694866,m1209814,m1209811,3,"{'b', 'c', 'a'}",False,False,12.47
ln5714974-1,line,3,"[[0.21416201209584257, 0.055795673327478965, 0.05716357960318407], [0.055795673327478965, 0.21213109768802993, 0.05608921874081847], [0.05716357960318407, 0.05608921874081847, 0.2148008926065125]]","[[0.6349571372299505, 0.2748695351570142, 0.24652758275387388], [0.2748695351570142, 0.6523748665904011, 0.2909196961107396], [0.24652758275387388, 0.2909196961107396, 0.6295435753335944]]",0.12260449,m1209811,m1209807,3,"{'b', 'c', 'a'}",False,False,12.47
ln5896798-1,line,3,"[[0.21416201209584257, 0.05579567332747896, 0.05716357960318407], [0.05579567332747896, 0.21213109768802993, 0.056089218740818465], [0.05716357960318407, 0.056089218740818465, 0.2148008926065125]]","[[0.6349571372299505, 0.2748695351570142, 0.24652758275387388], [0.2748695351570142, 0.6523748665904011, 0.2909196961107396], [0.24652758275387388, 0.2909196961107396, 0.6295435753335944]]",0.044159942,m1209807,m1209805,3,"{'b', 'c', 'a'}",False,False,12.47
ln5775442-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.10556016,m1209805,l2823592,3,"{'b', 'c', 'a'}",False,False,12.47
cap_1a,line,0,"[[1.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.001,l2823592,l2823592_cap,1,{'a'},False,False,12.47
cap_1b,line,0,"[[0.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0]]",0.001,l2823592,l2823592_cap,1,{'b'},False,False,12.47
cap_1c,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 1.0]]",0.001,l2823592,l2823592_cap,1,{'c'},False,False,12.47
ln5513564-2,line,0,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]",0.001,l2823592_cap,r20185,3,"{'b', 'c', 'a'}",False,False,12.47
ln5513564-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170082]]",0.021280456,r20185,d5513564-1_int,3,"{'b', 'c', 'a'}",False,False,12.47
xj171_48332_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,d5513564-1_int,e192201,3,"{'b', 'c', 'a'}",True,False,12.47
ln6321409-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759835, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604085, 0.3502585204185219], [0.30827065787452285, 0.3502585204185219, 0.6920213416170081]]",0.055682141,e192201,m1209800,3,"{'b', 'c', 'a'}",False,False,12.47
ln5654466-1,line,3,"[[0.27001903752089, 0.10995066546782974, 0.1135384900446312], [0.10995066546782974, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170081]]",0.075404767,m1209800,m1209797,3,"{'b', 'c', 'a'}",False,False,12.47
ln6291242-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.066599759,m1209797,m1209791,3,"{'b', 'c', 'a'}",False,False,12.47
ln5654472-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.055242928,m1209791,m1209790,3,"{'b', 'c', 'a'}",False,False,12.47
ln5594242-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170083]]",0.059115704,m1209790,m1209788,3,"{'b', 'c', 'a'}",False,False,12.47
ln6351519-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.10721017,m1209788,m1209787,3,"{'b', 'c', 'a'}",False,False,12.47
ln6261021-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.1135384900446312], [0.10995066546782976, 0.2646337351077933, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.33350978598678477, 0.30827065787452296], [0.33350978598678477, 0.7087291002604086, 0.35025852041852196], [0.30827065787452296, 0.35025852041852196, 0.6920213416170082]]",0.12435365,m1209787,l2823611,3,"{'b', 'c', 'a'}",False,False,12.47
ln5473440-1,line,3,"[[0.27001903752089007, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.11074699310270611], [0.11353849004463121, 0.11074699310270611, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170082]]",0.083489919,l2823611,l3030204,3,"{'b', 'c', 'a'}",False,False,12.47
ln5866268-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170081]]",0.067199597,l3030204,m1186072,3,"{'b', 'c', 'a'}",False,False,12.47
ln0048634_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,m1186072,d6048634-1_int,3,"{'b', 'c', 'a'}",True,False,12.47
ln6048634-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170083]]",0.042173829,d6048634-1_int,m1186067,3,"{'b', 'c', 'a'}",False,False,12.47
ln6504019-5,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.33350978598678466, 0.3082706578745229], [0.33350978598678466, 0.7087291002604085, 0.3502585204185219], [0.3082706578745229, 0.3502585204185219, 0.6920213416170081]]",0.05014083,m1186067,m3032980,3,"{'b', 'c', 'a'}",False,False,12.47
ln6504020-2,line,3,"[[0.27001903752089, 0.10995066546782974, 0.1135384900446312], [0.10995066546782974, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.33350978598678466, 0.30827065787452285], [0.33350978598678466, 0.7087291002604085, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170082]]",0.25744439,m3032980,m3032977,3,"{'b', 'c', 'a'}",False,False,12.47
ln6504018-1,line,3,"[[0.27001903752088996, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170082]]",0.3076146,m3032977,m1166366,3,"{'b', 'c', 'a'}",False,False,12.47
ln5957526-1,line,3,"[[0.27001903752089007, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.11074699310270611], [0.11353849004463121, 0.11074699310270611, 0.27169827938724384]]","[[0.6959739725759837, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170083]]",0.041168179,m1166366,m1166368,3,"{'b', 'c', 'a'}",False,False,12.47
ln5715052-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.1135384900446312], [0.10995066546782976, 0.26463373510779326, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170082]]",0.10508824,m1166368,l2973833,3,"{'b', 'c', 'a'}",False,False,12.47
ln5866308-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.11074699310270611], [0.11353849004463121, 0.11074699310270611, 0.27169827938724384]]","[[0.6959739725759837, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170083]]",0.041401205,l2973833,m1166373,3,"{'b', 'c', 'a'}",False,False,12.47
ln6412354-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.009347399,m1166373,m1166374,3,"{'b', 'c', 'a'}",False,False,12.47
ln6412355-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.06764679,m1166374,l2786266,3,"{'b', 'c', 'a'}",False,False,12.47
ln5745355-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.034564588,l2786266,m1166375,3,"{'b', 'c', 'a'}",False,False,12.47
ln5896834-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.09683365,m1166375,l2842383,3,"{'b', 'c', 'a'}",False,False,12.47
ln6023352-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.2646337351077933, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170082]]",0.052958573,l2842383,d6023352-1_int,3,"{'b', 'c', 'a'}",False,False,12.47
l9407_48332_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,d6023352-1_int,e184626,3,"{'b', 'c', 'a'}",True,False,12.47
ln6326450-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604086, 0.3502585204185219], [0.30827065787452285, 0.3502585204185219, 0.6920213416170082]]",0.010317742,e184626,m1166377,3,"{'b', 'c', 'a'}",False,False,12.47
ln5992960-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.033759753,m1166377,m1166376,3,"{'b', 'c', 'a'}",False,False,12.47
ln5508630-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.26463373510779326, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.005246984,m1166376,l2842384,3,"{'b', 'c', 'a'}",False,False,12.47
ln5805762-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.3502585204185219], [0.3082706578745229, 0.3502585204185219, 0.6920213416170082]]",0.067772686,l2842384,m1149236,3,"{'b', 'c', 'a'}",False,False,12.47
