name,bus,P1,Q1,P2,Q2,P3,Q3
,m1026333,0.0,0.0,0.0,0.0,0.0,0.0
,l2973162,0.0,0.0,5.84,1.46,0.0,0.0
,m1026341,0.0,0.0,0.0,0.0,0.0,0.0
,m1026347,0.0,0.0,0.0,0.0,0.0,0.0
,l3235275,0.0,0.0,9.73,2.44,0.0,0.0
,m1026354,0.0,0.0,0.0,0.0,0.0,0.0
,m1026356,0.0,0.0,0.0,0.0,0.0,0.0
,m1026357,0.0,0.0,0.0,0.0,0.0,0.0
,l3122849,0.0,0.0,5.84,1.47,0.0,0.0
,l2691954,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
,m1047292,0.0,0.0,0.0,0.0,0.0,0.0
,m1047293,0.0,0.0,0.0,0.0,0.0,0.0
,l2763153,8.87,2.23,0.0,0.0,0.0,0.0
,l3139121,0.0,0.0,0.0,0.0,0.0,0.0
,m1047299,0.0,0.0,0.0,0.0,0.0,0.0
226192684a0b,l3027116,5.32,1.3399999999999999,0.0,0.0,0.0,0.0
,m1047303,0.0,0.0,0.0,0.0,0.0,0.0
,l3254238,0.0,0.0,9.729999999999999,2.4299999999999997,0.0,0.0
,l2673346,0.0,0.0,0.0,0.0,10.170000000000002,2.55
,e182748,0.0,0.0,0.0,0.0,0.0,0.0
,d6049825-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1047309,0.0,0.0,0.0,0.0,0.0,0.0
,n1137960,0.0,0.0,0.0,0.0,0.0,0.0
,m1047312,0.0,0.0,0.0,0.0,0.0,0.0
293521c0b,l3216370,3.55,0.89,3.89,0.97,4.07,1.02
,m1047316,0.0,0.0,0.0,0.0,0.0,0.0
,l3235255,0.0,0.0,1.95,0.49,0.0,0.0
,l2897780,0.0,0.0,9.73,2.43,0.0,0.0
,m1047324,0.0,0.0,0.0,0.0,0.0,0.0
,m1047325,0.0,0.0,0.0,0.0,0.0,0.0
,q14412,0.0,0.0,0.0,0.0,0.0,0.0
,d5926308-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,l2860491,3.55,0.89,14.59,3.66,0.0,0.0
,m1047339,0.0,0.0,0.0,0.0,0.0,0.0
,l2991922,5.32,1.33,0.0,0.0,0.0,0.0
,m1047345,0.0,0.0,0.0,0.0,0.0,0.0
,m1047346,0.0,0.0,0.0,0.0,0.0,0.0
138718c0b,l3104134,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
138719a0b,l2860490,8.87,2.23,0.0,0.0,0.0,0.0
,l3254218,8.870000000000001,2.23,0.0,0.0,0.0,0.0
,r18242,0.0,0.0,0.0,0.0,0.0,0.0
,m1069135,0.0,0.0,0.0,0.0,0.0,0.0
,m1069136,0.0,0.0,0.0,0.0,0.0,0.0
,l3235256,5.32,1.34,0.0,0.0,0.0,0.0
,l3197630,8.870000000000001,2.22,0.0,0.0,0.0,0.0
,m1069154,0.0,0.0,0.0,0.0,0.0,0.0
,m1069155,0.0,0.0,0.0,0.0,0.0,0.0
,m1069156,0.0,0.0,0.0,0.0,0.0,0.0
138649a0b,l3048206,8.87,2.2199999999999998,0.0,0.0,0.0,0.0
138652c0b,l2766718,0.0,0.0,0.0,0.0,15.26,3.83
138655a0b,l3010556,5.32,1.3399999999999999,0.0,0.0,0.0,0.0
,m1069169,0.0,0.0,0.0,0.0,0.0,0.0
,e182724,0.0,0.0,0.0,0.0,0.0,0.0
,d6413567-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,n1139541,0.0,0.0,0.0,0.0,0.0,0.0
,m1069175,0.0,0.0,0.0,0.0,0.0,0.0
,m1069184,0.0,0.0,0.0,0.0,0.0,0.0
,m1069189,0.0,0.0,0.0,0.0,0.0,0.0
,l3195356,0.0,0.0,0.0,0.0,0.0,0.0
,m1089112,0.0,0.0,0.0,0.0,0.0,0.0
,m1089115,0.0,0.0,0.0,0.0,0.0,0.0
,m1089118,0.0,0.0,0.0,0.0,0.0,0.0
,m1089119,0.0,0.0,0.0,0.0,0.0,0.0
,m1089120,0.0,0.0,0.0,0.0,0.0,0.0
,d5472350-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,190-7361,0.0,0.0,0.0,0.0,0.0,0.0
,q14404,0.0,0.0,0.0,0.0,0.0,0.0
,regxfmr_190-7361,0.0,0.0,0.0,0.0,0.0,0.0
,d6138608-3_int,0.0,0.0,0.0,0.0,0.0,0.0
138262a0b,l3029502,17.74,4.45,0.0,0.0,0.0,0.0
,m1089131,0.0,0.0,0.0,0.0,0.0,0.0
138264b0b,l3104125,0.0,0.0,9.73,2.44,0.0,0.0
,l3160107,8.87,2.22,0.0,0.0,0.0,0.0
,m1089141,0.0,0.0,0.0,0.0,0.0,0.0
,m1089143,0.0,0.0,0.0,0.0,0.0,0.0
247036c0b,l3029498,0.0,0.0,0.0,0.0,4.07,1.02
,l2933164,0.0,0.0,0.0,0.0,0.0,0.0
,m1108286,0.0,0.0,0.0,0.0,0.0,0.0
225918926b0b,l2688692,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
225918936c0b,l2688693,0.0,0.0,0.0,0.0,6.1,1.53
,n1139547,0.0,0.0,0.0,0.0,0.0,0.0
,l2804249,0.0,0.0,0.0,0.0,6.1,1.53
,l3179678,0.0,0.0,5.84,1.46,0.0,0.0
,l2936279,0.0,0.0,0.0,0.0,10.17,2.55
,m1108295,0.0,0.0,0.0,0.0,0.0,0.0
207286c0b,l3011298,0.0,0.0,0.0,0.0,4.07,1.02
,196-36167,0.0,0.0,0.0,0.0,0.0,0.0
,m1108298,0.0,0.0,0.0,0.0,0.0,0.0
,l2879773,8.87,2.23,0.0,0.0,0.0,0.0
,d6170302-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1108311,0.0,0.0,0.0,0.0,0.0,0.0
,m1108315,0.0,0.0,0.0,0.0,0.0,0.0
,l2955081,5.32,1.33,0.0,0.0,0.0,0.0
,226-23751,0.0,0.0,0.0,0.0,0.0,0.0
,m1125902,0.0,0.0,0.0,0.0,0.0,0.0
,e183493,0.0,0.0,0.0,0.0,0.0,0.0
,d5958866-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,l2861218,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
,l2917328,0.0,0.0,9.73,2.44,0.0,0.0
,m1125914,0.0,0.0,0.0,0.0,0.0,0.0
,m1125917,0.0,0.0,0.0,0.0,0.0,0.0
,m1125919,0.0,0.0,0.0,0.0,0.0,0.0
260484a0b,l2992624,5.319999999999999,1.34,0.0,0.0,0.0,0.0
,l2730163,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
,m1125934,0.0,0.0,0.0,0.0,0.0,0.0
,l3030199,0.0,0.0,0.0,0.0,10.170000000000002,2.55
,l2955074,13.299999999999999,3.34,0.0,0.0,0.0,0.0
,m1142818,0.0,0.0,0.0,0.0,0.0,0.0
,m1142819,0.0,0.0,0.0,0.0,0.0,0.0
260527b0b,l2711226,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
,m1142821,0.0,0.0,0.0,0.0,0.0,0.0
,l2692655,0.0,0.0,0.0,0.0,10.17,2.55
,l2674047,0.0,0.0,0.0,0.0,6.1000000000000005,1.53
,m1142828,0.0,0.0,0.0,0.0,0.0,0.0
,l3160865,8.870000000000001,2.2199999999999998,0.0,0.0,0.0,0.0
,m1142832,0.0,0.0,0.0,0.0,0.0,0.0
,m1142839,0.0,0.0,0.0,0.0,0.0,0.0
,e193509,0.0,0.0,0.0,0.0,0.0,0.0
,d5799561-2_int,0.0,0.0,0.0,0.0,0.0,0.0
,l3081380,5.32,1.34,0.0,0.0,0.0,0.0
,d6138609-1_int,0.0,0.0,0.0,0.0,0.0,0.0
138379c0b,l2691951,0.0,0.0,0.0,0.0,10.17,2.55
,n1139542,0.0,0.0,0.0,0.0,0.0,0.0
,p827523,0.0,0.0,0.0,0.0,0.0,0.0
138380c0b,l2879076,0.0,0.0,0.0,0.0,4.07,1.02
,m1089122,0.0,0.0,0.0,0.0,0.0,0.0
,m1089132,0.0,0.0,0.0,0.0,0.0,0.0
,l3029503,0.0,0.0,0.0,0.0,6.1,1.53
,m1069202,0.0,0.0,0.0,0.0,0.0,0.0
138371c0b,l2879073,0.0,0.0,0.0,0.0,6.1000000000000005,1.53
,m1069205,0.0,0.0,0.0,0.0,0.0,0.0
,m1069208,0.0,0.0,0.0,0.0,0.0,0.0
,m1069213,0.0,0.0,0.0,0.0,0.0,0.0
,m1069215,0.0,0.0,0.0,0.0,0.0,0.0
,m1069der480-1,0.0,0.0,0.0,0.0,0.0,0.0
,m1069-mt1,0.0,0.0,0.0,0.0,0.0,0.0
,m1069217,0.0,0.0,0.0,0.0,0.0,0.0
302808c0b,l2841626,0.0,0.0,0.0,0.0,4.07,1.02
,l3235266,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
,l2801950,0.0,0.0,0.0,0.0,0.0,0.0
,m1069224,0.0,0.0,0.0,0.0,0.0,0.0
,m1069230,0.0,0.0,0.0,0.0,0.0,0.0
,m1069300,0.0,0.0,0.0,0.0,0.0,0.0
,m1069310,0.0,0.0,0.0,0.0,0.0,0.0
,m1069311,0.0,0.0,0.0,0.0,0.0,0.0
337684a0b,l3159448,8.87,2.23,0.0,0.0,0.0,0.0
,n1138607,0.0,0.0,0.0,0.0,0.0,0.0
,m4113347,0.0,0.0,0.0,0.0,0.0,0.0
,n1144668,0.0,0.0,0.0,0.0,0.0,0.0
,m1069350,0.0,0.0,0.0,0.0,0.0,0.0
,l3143999,8.870000000000001,2.23,0.0,0.0,0.0,0.0
,n1138604,0.0,0.0,0.0,0.0,0.0,0.0
,l3125349,0.0,0.0,0.0,0.0,10.17,2.55
,n1138603,0.0,0.0,0.0,0.0,0.0,0.0
226193702c0b,l3181545,0.0,0.0,0.0,0.0,6.1,1.53
,n1138599,0.0,0.0,0.0,0.0,0.0,0.0
,m1069376,0.0,0.0,0.0,0.0,0.0,0.0
,n1138598,0.0,0.0,0.0,0.0,0.0,0.0
,l2822877,0.0,0.0,5.84,1.46,0.0,0.0
,m1069382,0.0,0.0,0.0,0.0,0.0,0.0
21386754a0b,l2766741,8.87,2.22,0.0,0.0,0.0,0.0
,m1069411,0.0,0.0,0.0,0.0,0.0,0.0
,n1138597,0.0,0.0,0.0,0.0,0.0,0.0
,m1069417,0.0,0.0,0.0,0.0,0.0,0.0
,m1069418,0.0,0.0,0.0,0.0,0.0,0.0
,m1069419,0.0,0.0,0.0,0.0,0.0,0.0
,m4277837,0.0,0.0,0.0,0.0,0.0,0.0
,m1069420,0.0,0.0,0.0,0.0,0.0,0.0
,l2935549,0.0,0.0,14.59,3.65,0.0,0.0
,m1069424,0.0,0.0,0.0,0.0,0.0,0.0
,m1069428,0.0,0.0,0.0,0.0,0.0,0.0
,q14411,0.0,0.0,0.0,0.0,0.0,0.0
,d5956499-2_int,0.0,0.0,0.0,0.0,0.0,0.0
337661b0b,l2766749,0.0,0.0,9.73,2.44,0.0,0.0
,m1069438,0.0,0.0,0.0,0.0,0.0,0.0
,l2925506,0.0,0.0,0.0,0.0,10.17,2.55
,n1139260,0.0,0.0,0.0,0.0,0.0,0.0
,m1069457,0.0,0.0,0.0,0.0,0.0,0.0
,d5803273-1_int,0.0,0.0,0.0,0.0,0.0,0.0
226193745b0b,l2876798,0.0,0.0,9.73,2.44,0.0,0.0
,m1069461,0.0,0.0,0.0,0.0,0.0,0.0
,m1069464,0.0,0.0,0.0,0.0,0.0,0.0
,m1069468,0.0,0.0,0.0,0.0,0.0,0.0
,l3216367,0.0,0.0,9.729999999999999,2.44,0.0,0.0
337652b0b,l2991939,0.0,0.0,9.73,2.43,0.0,0.0
337653b0b,l2673308,0.0,0.0,14.59,3.66,0.0,0.0
,l2745848,0.0,0.0,0.0,0.0,0.0,0.0
,m1069481,0.0,0.0,0.0,0.0,0.0,0.0
,m1069483,0.0,0.0,0.0,0.0,0.0,0.0
,m1047480,0.0,0.0,0.0,0.0,0.0,0.0
,m1047483,0.0,0.0,0.0,0.0,0.0,0.0
,l3010560,0.0,0.0,9.73,2.44,0.0,0.0
,m1047484,0.0,0.0,0.0,0.0,0.0,0.0
,m1047486,0.0,0.0,0.0,0.0,0.0,0.0
338953b0b,l3122821,0.0,0.0,9.73,2.44,0.0,0.0
,m1047485,0.0,0.0,0.0,0.0,0.0,0.0
226192926a0b,l2726973,8.87,2.22,0.0,0.0,0.0,0.0
,m1047490,0.0,0.0,0.0,0.0,0.0,0.0
,l2822872,0.0,0.0,9.73,2.44,0.0,0.0
338949b0b,l3104136,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
,m1047497,0.0,0.0,0.0,0.0,0.0,0.0
,l3160109,0.0,0.0,9.73,2.44,0.0,0.0
,196-29520,0.0,0.0,0.0,0.0,0.0,0.0
,n1137992,0.0,0.0,0.0,0.0,0.0,0.0
,d5742811-3_int,0.0,0.0,0.0,0.0,0.0,0.0
226192936b0b,l2820531,0.0,0.0,9.73,2.44,0.0,0.0
,m1047507,0.0,0.0,0.0,0.0,0.0,0.0
,m1026905,0.0,0.0,0.0,0.0,0.0,0.0
,m1026907,0.0,0.0,0.0,0.0,0.0,0.0
,m1026902,0.0,0.0,0.0,0.0,0.0,0.0
,p827525,0.0,0.0,0.0,0.0,0.0,0.0
,m1026chp-1,0.0,0.0,0.0,0.0,0.0,0.0
,m1026chp-2,0.0,0.0,0.0,0.0,0.0,0.0
,m1026chp-3,0.0,0.0,0.0,0.0,0.0,0.0
,m1026896,0.0,0.0,0.0,0.0,0.0,0.0
226191772c0b,l3120484,0.0,0.0,0.0,0.0,6.1,1.53
,m1026886,0.0,0.0,0.0,0.0,0.0,0.0
,q14413,0.0,0.0,0.0,0.0,0.0,0.0
,d5502543-2_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1026872,0.0,0.0,0.0,0.0,0.0,0.0
,l2822871,0.0,0.0,9.73,2.44,0.0,0.0
,l3235257,0.0,0.0,0.0,0.0,0.0,0.0
,m1026851,0.0,0.0,0.0,0.0,0.0,0.0
,l3197646,0.0,0.0,9.73,2.44,0.0,0.0
,m1026852,0.0,0.0,0.0,0.0,0.0,0.0
,m1026854,0.0,0.0,0.0,0.0,0.0,0.0
,m1026858,0.0,0.0,0.0,0.0,0.0,0.0
,m1026861,0.0,0.0,0.0,0.0,0.0,0.0
,m1026855,0.0,0.0,0.0,0.0,0.0,0.0
,l3235254,0.0,0.0,0.0,0.0,10.17,2.55
,m3768670,0.0,0.0,0.0,0.0,0.0,0.0
,l3216345,0.0,0.0,14.59,3.6500000000000004,0.0,0.0
338934b0b,l2879070,0.0,0.0,5.84,1.46,0.0,0.0
,m1026830,0.0,0.0,0.0,0.0,0.0,0.0
,m3763619,0.0,0.0,0.0,0.0,0.0,0.0
,m1047592,0.0,0.0,0.0,0.0,0.0,0.0
,m1047577,0.0,0.0,0.0,0.0,0.0,0.0
228665517c0b,l3103822,0.0,0.0,0.0,0.0,15.26,3.83
,n1136669,0.0,0.0,0.0,0.0,0.0,0.0
,m1047552,0.0,0.0,0.0,0.0,0.0,0.0
,m1047548,0.0,0.0,0.0,0.0,0.0,0.0
,l3066815,0.0,0.0,0.0,0.0,10.170000000000002,2.55
,196-29519,0.0,0.0,0.0,0.0,0.0,0.0
,n1136667,0.0,0.0,0.0,0.0,0.0,0.0
,l2858166,3.55,0.89,0.0,0.0,0.0,0.0
,d5863704-2_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1047528,0.0,0.0,0.0,0.0,0.0,0.0
,n1136666,0.0,0.0,0.0,0.0,0.0,0.0
,m1047526,0.0,0.0,0.0,0.0,0.0,0.0
,m1047521,0.0,0.0,0.0,0.0,0.0,0.0
,m1047pv-3,0.0,0.0,0.0,0.0,0.0,0.0
,m1047pv-2,0.0,0.0,0.0,0.0,0.0,0.0
,m1047pv-1,0.0,0.0,0.0,0.0,0.0,0.0
,m1047520,0.0,0.0,0.0,0.0,0.0,0.0
,m1047522,0.0,0.0,0.0,0.0,0.0,0.0
,d6077791-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,n1136663,0.0,0.0,0.0,0.0,0.0,0.0
,m1047534,0.0,0.0,0.0,0.0,0.0,0.0
,m1047550,0.0,0.0,0.0,0.0,0.0,0.0
,m1047558,0.0,0.0,0.0,0.0,0.0,0.0
,m1047568,0.0,0.0,0.0,0.0,0.0,0.0
,q14733,0.0,0.0,0.0,0.0,0.0,0.0
,d5860423-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,190-8593,0.0,0.0,0.0,0.0,0.0,0.0
,m1047575,0.0,0.0,0.0,0.0,0.0,0.0
,regxfmr_190-8593,0.0,0.0,0.0,0.0,0.0,0.0
,d5860450-1_int,0.0,0.0,0.0,0.0,0.0,0.0
338972b0b,l2841632,0.0,0.0,9.73,2.43,0.0,0.0
,m1047574,0.0,0.0,0.0,0.0,0.0,0.0
,m1069500,0.0,0.0,0.0,0.0,0.0,0.0
,m1069504,0.0,0.0,0.0,0.0,0.0,0.0
,l2691967,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
,r42246,0.0,0.0,0.0,0.0,0.0,0.0
,q16642_cap,0.0,0.0,0.0,0.0,0.0,0.0
,q16642,0.0,0.0,0.0,0.0,0.0,0.0
,d6290228-6_int,0.0,0.0,0.0,0.0,0.0,0.0
,n1136657,0.0,0.0,0.0,0.0,0.0,0.0
,m1069514,0.0,0.0,0.0,0.0,0.0,0.0
,m1069515,0.0,0.0,0.0,0.0,0.0,0.0
,n1136367,0.0,0.0,0.0,0.0,0.0,0.0
,m1069517,0.0,0.0,0.0,0.0,0.0,0.0
,n1136365,0.0,0.0,0.0,0.0,0.0,0.0
,m1069516,0.0,0.0,0.0,0.0,0.0,0.0
,m1069513,0.0,0.0,0.0,0.0,0.0,0.0
338978c0b,l2766738,0.0,0.0,0.0,0.0,10.17,2.55
,m1069509,0.0,0.0,0.0,0.0,0.0,0.0
,m1069505,0.0,0.0,0.0,0.0,0.0,0.0
,n1134478,0.0,0.0,0.0,0.0,0.0,0.0
,m1069503,0.0,0.0,0.0,0.0,0.0,0.0
,e182729,0.0,0.0,0.0,0.0,0.0,0.0
,d5534969-2_int,0.0,0.0,0.0,0.0,0.0,0.0
,n1134477,0.0,0.0,0.0,0.0,0.0,0.0
,l3066814,0.0,0.0,3.8899999999999997,0.98,0.0,0.0
,n1134476,0.0,0.0,0.0,0.0,0.0,0.0
,m1069499,0.0,0.0,0.0,0.0,0.0,0.0
,m1069498,0.0,0.0,0.0,0.0,0.0,0.0
,m1069495,0.0,0.0,0.0,0.0,0.0,0.0
,m1069497,0.0,0.0,0.0,0.0,0.0,0.0
,n1134475,0.0,0.0,0.0,0.0,0.0,0.0
,m1069496,0.0,0.0,0.0,0.0,0.0,0.0
,n1134474,0.0,0.0,0.0,0.0,0.0,0.0
,m1089215,0.0,0.0,0.0,0.0,0.0,0.0
,m1089220,0.0,0.0,0.0,0.0,0.0,0.0
,m1089der480-2,0.0,0.0,0.0,0.0,0.0,0.0
,m1089-dies1,0.0,0.0,0.0,0.0,0.0,0.0
,n1144663,0.0,0.0,0.0,0.0,0.0,0.0
,l3231255,0.0,0.0,0.0,0.0,10.17,2.55
,l3118855,0.0,0.0,0.0,0.0,15.26,3.82
,m1089213,0.0,0.0,0.0,0.0,0.0,0.0
339048a0b,l3160098,5.32,1.33,0.0,0.0,0.0,0.0
,m1089207,0.0,0.0,0.0,0.0,0.0,0.0
,m1089203,0.0,0.0,0.0,0.0,0.0,0.0
,m1089202,0.0,0.0,0.0,0.0,0.0,0.0
,m1089201,0.0,0.0,0.0,0.0,0.0,0.0
,m1089198,0.0,0.0,0.0,0.0,0.0,0.0
,m1089196,0.0,0.0,0.0,0.0,0.0,0.0
,m1089197,0.0,0.0,0.0,0.0,0.0,0.0
,m1089199,0.0,0.0,0.0,0.0,0.0,0.0
,m1108526,0.0,0.0,0.0,0.0,0.0,0.0
,m1108534,0.0,0.0,0.0,0.0,0.0,0.0
,m1108535,0.0,0.0,0.0,0.0,0.0,0.0
,m1108532,0.0,0.0,0.0,0.0,0.0,0.0
,m1108529,0.0,0.0,0.0,0.0,0.0,0.0
,q14734,0.0,0.0,0.0,0.0,0.0,0.0
,d5587291-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,190-8581,0.0,0.0,0.0,0.0,0.0,0.0
,l2692635,0.0,0.0,0.0,0.0,0.0,0.0
,regxfmr_190-8581,0.0,0.0,0.0,0.0,0.0,0.0
,d5578300-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,l2692633,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
,l2674027,0.0,0.0,9.73,2.44,0.0,0.0
,l3179646,0.0,0.0,14.59,3.6599999999999997,0.0,0.0
21469911a0b,l2955047,8.870000000000001,2.2199999999999998,0.0,0.0,0.0,0.0
,m1108505,0.0,0.0,0.0,0.0,0.0,0.0
,m1108500,0.0,0.0,0.0,0.0,0.0,0.0
,n1142104,0.0,0.0,0.0,0.0,0.0,0.0
,l3104830,0.0,0.0,0.0,0.0,4.07,1.02
,n1142103,0.0,0.0,0.0,0.0,0.0,0.0
,m1108493,0.0,0.0,0.0,0.0,0.0,0.0
,l3142049,0.0,0.0,0.0,0.0,4.07,1.02
,m1108490,0.0,0.0,0.0,0.0,0.0,0.0
,n1142100,0.0,0.0,0.0,0.0,0.0,0.0
,n1142099,0.0,0.0,0.0,0.0,0.0,0.0
356814c0b,l2730106,0.0,0.0,0.0,0.0,10.170000000000002,2.5500000000000003
,m1108484,0.0,0.0,0.0,0.0,0.0,0.0
226197070a0b,l2933135,8.87,2.2199999999999998,0.0,0.0,0.0,0.0
,m4122658,0.0,0.0,0.0,0.0,0.0,0.0
226194826a0b,l3232902,8.87,2.2199999999999998,0.0,0.0,0.0,0.0
,l3179650,0.0,0.0,5.84,1.47,0.0,0.0
,l2973791,17.740000000000002,4.45,0.0,0.0,0.0,0.0
228001810a0b,l2859403,8.870000000000001,2.23,0.0,0.0,0.0,0.0
,r20703,0.0,0.0,0.0,0.0,0.0,0.0
,e183473,0.0,0.0,0.0,0.0,0.0,0.0
,d5535139-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1125997,0.0,0.0,0.0,0.0,0.0,0.0
,m1125994,0.0,0.0,0.0,0.0,0.0,0.0
,l3067478,13.3,3.33,0.0,0.0,0.0,0.0
,m1125990,0.0,0.0,0.0,0.0,0.0,0.0
,m1125989,0.0,0.0,0.0,0.0,0.0,0.0
,m1125987,0.0,0.0,0.0,0.0,0.0,0.0
